max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,learning_rate_XGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
3,3,100,0.1,0.9,0.9,144,0.1,10,0.204919467,0.795080533
3,3,100,0.1,0.9,0.9,144,0.01,10,0.204923009,0.795076991
3,3,200,0.05,0.5,0.5,48,0.1,10,0.204926345,0.795073655
3,3,200,0.05,0.7,0.7,112,1,10,0.204939125,0.795060875
3,3,200,0.05,0.5,0.5,48,1,10,0.20497461,0.79502539
3,3,200,0.05,0.5,0.5,16,0.01,10,0.205053558,0.794946442
3,3,200,0.05,0.5,0.5,16,0.1,10,0.205066691,0.794933309
5,5,100,0.1,0.7,0.7,112,1,10,0.205086299,0.794913701
7,7,100,0.1,0.5,0.5,16,0.01,10,0.205089278,0.794910722
7,7,100,0.1,0.7,0.7,112,1,10,0.205105705,0.794894295
5,5,100,0.1,0.7,0.7,112,0.01,10,0.205114103,0.794885897
7,7,100,0.1,0.5,0.5,16,0.1,10,0.205124097,0.794875903
7,7,100,0.1,0.7,0.7,112,0.1,10,0.205124298,0.794875702
5,5,100,0.1,0.7,0.7,112,0.1,10,0.20512551,0.79487449
3,3,200,0.05,0.5,0.5,16,1,10,0.205137167,0.794862833
7,7,100,0.1,0.7,0.7,112,0.01,10,0.205140887,0.794859113
9,9,100,0.1,0.7,0.7,112,0.01,10,0.205145113,0.794854887
9,9,100,0.1,0.7,0.7,112,0.1,10,0.205146934,0.794853066
3,3,200,0.05,0.5,0.5,80,0.01,10,0.205151154,0.794848846
3,3,100,0.1,0.7,0.7,112,0.01,10,0.205155264,0.794844736
3,3,200,0.05,0.5,0.5,80,0.1,10,0.205157815,0.794842185
3,3,100,0.1,0.7,0.7,112,0.1,10,0.205166444,0.794833556
5,5,200,0.05,0.5,0.5,80,0.01,10,0.205178252,0.794821748
5,5,200,0.05,0.5,0.5,80,0.1,10,0.205180533,0.794819467
5,5,200,0.05,0.5,0.5,80,1,10,0.205185277,0.794814723
3,3,200,0.05,0.5,0.5,80,1,10,0.205193565,0.794806435
9,9,100,0.1,0.7,0.7,112,1,10,0.205200556,0.794799444
7,7,200,0.05,0.5,0.5,80,0.01,10,0.205203168,0.794796832
7,7,200,0.05,0.5,0.5,80,0.1,10,0.205205677,0.794794323
7,7,200,0.05,0.5,0.5,80,1,10,0.205249898,0.794750102
3,3,100,0.1,0.7,0.7,112,1,10,0.20528229,0.79471771
9,9,200,0.05,0.5,0.5,80,0.1,10,0.205294502,0.794705498
9,9,200,0.05,0.5,0.5,80,0.01,10,0.205297278,0.794702722
3,3,200,0.05,0.7,0.7,144,0.1,10,0.205306666,0.794693334
3,3,200,0.05,0.7,0.7,144,0.01,10,0.205310294,0.794689706
9,9,200,0.05,0.5,0.5,80,1,10,0.205316373,0.794683627
5,5,100,0.1,0.5,0.5,16,1,10,0.205326018,0.794673982
5,5,200,0.05,0.7,0.7,144,0.01,10,0.20532834,0.79467166
5,5,200,0.05,0.7,0.7,144,0.1,10,0.205333489,0.794666511
5,5,100,0.1,0.5,0.5,48,1,10,0.20533463,0.79466537
5,5,200,0.05,0.7,0.7,144,1,10,0.205340133,0.794659867
7,7,100,0.1,0.5,0.5,48,0.01,10,0.205340447,0.794659553
3,3,200,0.05,0.7,0.7,144,1,10,0.205342534,0.794657466
7,7,100,0.1,0.5,0.5,48,0.1,10,0.205342579,0.794657421
7,7,200,0.05,0.7,0.7,144,0.01,10,0.205348701,0.794651299
7,7,200,0.05,0.7,0.7,144,0.1,10,0.205352273,0.794647727
9,9,200,0.05,0.7,0.7,144,0.01,10,0.205357769,0.794642231
9,9,200,0.05,0.7,0.7,144,0.1,10,0.205360921,0.794639079
9,9,200,0.05,0.7,0.7,144,1,10,0.205362711,0.794637289
5,5,100,0.1,0.5,0.5,16,0.01,10,0.205363754,0.794636246
7,7,200,0.05,0.7,0.7,144,1,10,0.205365855,0.794634145
7,7,100,0.1,0.5,0.5,16,1,10,0.205407073,0.794592927
5,5,100,0.1,0.5,0.5,16,0.1,10,0.205445067,0.794554933
9,9,100,0.1,0.5,0.5,16,0.1,10,0.205494256,0.794505744
7,7,100,0.1,0.5,0.5,48,1,10,0.205508195,0.794491805
5,5,100,0.1,0.5,0.5,48,0.1,10,0.205518726,0.794481274
9,9,100,0.1,0.5,0.5,16,1,10,0.205536042,0.794463958
5,5,100,0.1,0.5,0.5,48,0.01,10,0.20553697,0.79446303
9,9,100,0.1,0.5,0.5,16,0.01,10,0.205578294,0.794421706
3,3,200,0.05,0.5,0.5,112,0.01,10,0.205613849,0.794386151
3,3,200,0.05,0.5,0.5,112,0.1,10,0.205617623,0.794382377
9,9,100,0.1,0.5,0.5,48,0.01,10,0.20562497,0.79437503
3,3,200,0.05,0.5,0.5,112,1,10,0.20563417,0.79436583
5,5,200,0.05,0.5,0.5,112,0.01,10,0.205641497,0.794358503
5,5,200,0.05,0.5,0.5,112,0.1,10,0.205643175,0.794356825
9,9,100,0.1,0.5,0.5,48,0.1,10,0.205644897,0.794355103
5,5,200,0.05,0.5,0.5,112,1,10,0.205653629,0.794346371
7,7,200,0.05,0.5,0.5,112,0.01,10,0.205677287,0.794322713
7,7,200,0.05,0.5,0.5,112,0.1,10,0.205680322,0.794319678
9,9,100,0.1,0.5,0.5,48,1,10,0.205722604,0.794277396
7,7,200,0.05,0.5,0.5,112,1,10,0.205731775,0.794268225
9,9,200,0.05,0.5,0.5,112,0.1,10,0.205741486,0.794258514
9,9,200,0.05,0.5,0.5,112,0.01,10,0.205756208,0.794243792
9,9,200,0.05,0.5,0.5,112,1,10,0.205762653,0.794237347
3,3,200,0.05,0.5,0.5,144,0.01,10,0.20592665,0.79407335
3,3,200,0.05,0.5,0.5,144,0.1,10,0.205928274,0.794071726
3,3,200,0.05,0.5,0.5,144,1,10,0.205938574,0.794061426
3,3,100,0.1,0.5,0.5,48,0.01,10,0.205939605,0.794060395
5,5,200,0.05,0.5,0.5,144,0.01,10,0.205947655,0.794052345
5,5,200,0.05,0.5,0.5,144,0.1,10,0.205948716,0.794051284
5,5,200,0.05,0.5,0.5,144,1,10,0.205955177,0.794044823
7,7,200,0.05,0.5,0.5,144,0.01,10,0.205984988,0.794015012
7,7,200,0.05,0.5,0.5,144,0.1,10,0.205986781,0.794013219
3,3,100,0.1,0.5,0.5,48,0.1,10,0.205993501,0.794006499
7,7,200,0.05,0.5,0.5,144,1,10,0.206013438,0.793986562
9,9,200,0.05,0.5,0.5,144,1,10,0.206021951,0.793978049
9,9,200,0.05,0.5,0.5,144,0.1,10,0.206026326,0.793973674
9,9,200,0.05,0.5,0.5,144,0.01,10,0.206030791,0.793969209
3,3,100,0.1,0.5,0.5,16,0.01,10,0.206041423,0.793958577
3,3,100,0.1,0.5,0.5,16,0.1,10,0.206067669,0.793932331
3,3,100,0.1,0.5,0.5,80,0.01,10,0.206077721,0.793922279
3,3,100,0.1,0.5,0.5,80,0.1,10,0.206085617,0.793914383
5,5,100,0.1,0.5,0.5,80,1,10,0.206109639,0.793890361
5,5,100,0.1,0.5,0.5,80,0.01,10,0.206113395,0.793886605
7,7,100,0.1,0.5,0.5,80,0.1,10,0.206124009,0.793875991
7,7,100,0.1,0.5,0.5,80,0.01,10,0.2061248,0.7938752
5,5,100,0.1,0.5,0.5,80,0.1,10,0.206129611,0.793870389
3,3,100,0.1,0.5,0.5,48,1,10,0.206133462,0.793866538
3,3,100,0.1,0.5,0.5,80,1,10,0.206154269,0.793845731
7,7,100,0.1,0.5,0.5,80,1,10,0.206207109,0.793792891
9,9,100,0.1,0.5,0.5,80,0.1,10,0.206271362,0.793728638
9,9,100,0.1,0.5,0.5,80,0.01,10,0.206295776,0.793704224
