max_depth_XGB,reg_lambda_XGB,num_iterations_LGB,n_estimators_XGB,learning_rate_LGB,learning_rate_XGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,max_bin_LGB,max_depth_LGB,reg_alpha_LGB,reg_alpha_XGB,degree,mse,r2
9,9,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,10,80,7,0.1,0.1,10,0.11076967566351893,0.8892303243364811
9,9,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.01,0.01,10,0.11087107880490848,0.8891289211950915
9,9,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,18,144,11,0.01,0.01,10,0.11101816044404367,0.8889818395559563
5,5,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.01,0.01,10,0.11106803750604824,0.8889319624939518
5,5,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.11111789747316793,0.8888821025268321
5,5,200,200,0.1,0.1,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.11115495138221161,0.8888450486177883
7,7,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,18,144,11,0.1,0.1,10,0.11123187662357195,0.8887681233764281
9,9,100,100,0.2,0.2,64,64,10.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.11126401250848149,0.8887359874915185
5,5,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.1112983519708534,0.8887016480291466
9,9,100,100,0.2,0.2,96,96,15.0,0.7,0.7,0.7,0.7,10,80,7,0.01,0.01,10,0.11138374353096399,0.888616256469036
5,5,200,200,0.1,0.1,64,64,10.0,0.5,0.5,0.8999999999999999,0.8999999999999999,18,144,11,1.0,1.0,10,0.11141130231678043,0.8885886976832196
7,7,100,100,0.2,0.2,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.01,0.01,10,0.1114415755139922,0.8885584244860079
9,9,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,1.0,1.0,10,0.11149414859075335,0.8885058514092466
5,5,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,0.1,0.1,10,0.11149652704076042,0.8885034729592396
5,5,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,14,112,9,1.0,1.0,10,0.11151195539794052,0.8884880446020594
9,9,200,200,0.1,0.1,96,96,15.0,0.7,0.7,0.7,0.7,14,112,9,1.0,1.0,10,0.11151806773932288,0.8884819322606772
9,9,100,100,0.2,0.2,32,32,5.0,0.7,0.7,0.7,0.7,6,48,5,0.1,0.1,10,0.11172262330233972,0.8882773766976603
7,7,200,200,0.1,0.1,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,6,48,5,0.01,0.01,10,0.11174240403313958,0.8882575959668604
9,9,200,200,0.1,0.1,32,32,5.0,0.5,0.5,0.8999999999999999,0.8999999999999999,18,144,11,1.0,1.0,10,0.11177735828164254,0.8882226417183574
7,7,100,100,0.2,0.2,32,32,5.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,0.1,0.1,10,0.11178878426467091,0.8882112157353291
9,9,200,200,0.1,0.1,64,64,10.0,0.5,0.5,0.8999999999999999,0.8999999999999999,18,144,11,1.0,1.0,10,0.11185494719734759,0.8881450528026524
5,5,200,200,0.1,0.1,96,96,15.0,0.9,0.9,0.4999999999999999,0.4999999999999999,18,144,11,1.0,1.0,10,0.11187373267719145,0.8881262673228085
9,9,100,100,0.2,0.2,64,64,10.0,0.5,0.5,0.8999999999999999,0.8999999999999999,18,144,11,0.01,0.01,10,0.11197429469358831,0.8880257053064117
