max_depth_XGBR,reg_lambda_XGBR,n_estimators_XGBR,learning_rate_XGBR,max_depth_XGBC,reg_lambda_XGBC,subsample_XGBR,colsample_bytree_XGBR,subsample_XGBC,colsample_bytree_XGBC,min_child_weight_XGBR,min_child_weight_XGBC,reg_alpha_XGBR,reg_alpha_XGBC,n_estimators_XGBC,learning_rate_XGBR,degree,mse,r2
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,200,0.05,10,0.203576496084037,0.7964235039159631
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,200,0.05,10,0.20362637732514652,0.7963736226748535
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,100,0.1,10,0.20364208449174345,0.7963579155082565
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,200,0.05,10,0.20402508101241298,0.795974918987587
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,100,0.1,10,0.20413203733089294,0.7958679626691071
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,200,0.05,10,0.20419910223246485,0.7958008977675352
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,200,0.05,10,0.20441685446390348,0.7955831455360965
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.01,0.01,200,0.05,10,0.2046464659797541,0.7953535340202459
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,200,0.05,10,0.2047362846888453,0.7952637153111547
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,200,0.05,10,0.204988407022021,0.795011592977979
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,200,0.05,10,0.20506357150445614,0.7949364284955438
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,100,0.1,10,0.2054754066324455,0.7945245933675544
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,100,0.1,10,0.2056115229095628,0.7943884770904373
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,100,0.1,10,0.2056381949581531,0.7943618050418468
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,0.1,0.1,100,0.1,10,0.20570310865401983,0.7942968913459801
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.20579557059403283,0.7942044294059671
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,100,0.1,10,0.20584826820595659,0.7941517317940434
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,100,0.1,10,0.2058679438853961,0.7941320561146039
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,3,3,0.1,0.1,100,0.1,10,0.20598551125571088,0.7940144887442891
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.2060185514161912,0.7939814485838088
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.20616046524888504,0.7938395347511149
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,100,0.1,10,0.20627299661908516,0.7937270033809148
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,3,3,0.1,0.1,100,0.1,10,0.20627930247953014,0.7937206975204698
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,9,9,0.01,0.01,200,0.05,10,0.20629660196763341,0.7937033980323666
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,1.0,1.0,200,0.05,10,0.2063203104745028,0.7936796895254972
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,100,0.1,10,0.20636425505646222,0.7936357449435378
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,100,0.1,10,0.206364413802342,0.7936355861976581
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,100,0.1,10,0.20648472062919299,0.793515279370807
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,9,9,0.01,0.01,200,0.05,10,0.20651152500529837,0.7934884749947017
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,100,0.1,10,0.20654194972749979,0.7934580502725002
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,9,9,0.01,0.01,200,0.05,10,0.2065812446284055,0.7934187553715946
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,200,0.05,10,0.20659379880247428,0.7934062011975257
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,100,0.1,10,0.2066753429571182,0.7933246570428818
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,100,0.1,10,0.20669763708364616,0.7933023629163538
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,100,0.1,10,0.20679780681508714,0.7932021931849129
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,100,0.1,10,0.2069854412559488,0.7930145587440511
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,100,0.1,10,0.20709126335638453,0.7929087366436155
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,200,0.05,10,0.2072263978805582,0.7927736021194418
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,100,0.1,10,0.20723602016643788,0.7927639798335622
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,200,0.05,10,0.2073011671284928,0.7926988328715072
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,200,0.05,10,0.2073076871190905,0.7926923128809095
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,200,0.05,10,0.20744460083354754,0.7925553991664525
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,200,0.05,10,0.20757235522374565,0.7924276447762544
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,200,0.05,10,0.2076027297321302,0.7923972702678698
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,200,0.05,10,0.20763504442189795,0.792364955578102
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,200,0.05,10,0.20766086008804605,0.7923391399119539
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,200,0.05,10,0.2076905056119683,0.7923094943880317
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,200,0.05,10,0.2077168245353164,0.7922831754646836
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,7,7,0.1,0.1,200,0.05,10,0.2078266613662948,0.7921733386337052
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,100,0.1,10,0.20782712859124391,0.7921728714087561
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,100,0.1,10,0.2080563675159765,0.7919436324840234
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,9,9,1.0,1.0,200,0.05,10,0.20827689567248392,0.7917231043275161
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.1,0.1,200,0.05,10,0.20831452717274507,0.7916854728272549
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,5,5,0.1,0.1,100,0.1,10,0.20836554401185314,0.7916344559881469
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.01,0.01,100,0.1,10,0.20861300434365504,0.791386995656345
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,9,9,1.0,1.0,200,0.05,10,0.20866230686010856,0.7913376931398914
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,100,0.1,10,0.20877450749987717,0.7912254925001229
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,0.01,0.01,200,0.05,10,0.20882852653967696,0.791171473460323
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,9,9,1.0,1.0,200,0.05,10,0.20895410210959578,0.7910458978904042
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,100,0.1,10,0.20900978174329612,0.7909902182567039
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,1.0,1.0,100,0.1,10,0.2091261205323471,0.7908738794676529
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,200,0.05,10,0.2091936576065123,0.7908063423934877
5,5,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,200,0.05,10,0.20921447722530903,0.7907855227746909
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,1.0,1.0,200,0.05,10,0.20930187001855607,0.790698129981444
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,1.0,1.0,200,0.05,10,0.20951733985100685,0.7904826601489932
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,1.0,1.0,100,0.1,10,0.2095414048605724,0.7904585951394276
9,9,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,0.1,0.1,200,0.05,10,0.20955012971464498,0.7904498702853551
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,3,3,1.0,1.0,200,0.05,10,0.20975291721720493,0.7902470827827951
5,5,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,100,0.1,10,0.2097739394477503,0.7902260605522498
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,3,3,0.1,0.1,100,0.1,10,0.20988948116721812,0.7901105188327819
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,7,7,1.0,1.0,100,0.1,10,0.20995155568862675,0.7900484443113732
7,7,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,100,0.1,10,0.21004857396133206,0.789951426038668
7,7,100,0.1,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,1.0,1.0,200,0.05,10,0.2100917776170457,0.7899082223829543
9,9,200,0.05,16,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,1.0,1.0,100,0.1,10,0.21009881969559174,0.7899011803044083
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,3,3,0.1,0.1,100,0.1,10,0.21012965887831092,0.7898703411216891
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,3,3,0.1,0.1,100,0.1,10,0.2103415931172774,0.7896584068827226
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,3,3,0.1,0.1,100,0.1,10,0.21036403728590897,0.789635962714091
