max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,learning_rate_XGB,penalty_逻辑回归,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,C_逻辑回归,degree,mse,r2
7,7,100,0.1,l1,0.7,0.7,48,0.1,1.0,10,0.1695047446003732,0.8304952553996268
7,7,100,0.1,l1,0.7,0.7,48,1.0,10.0,10,0.16952277164268978,0.8304772283573102
3,3,100,0.1,l2,0.9,0.9,144,1.0,10.0,10,0.16952901504559903,0.830470984954401
3,3,100,0.1,l2,0.9,0.9,80,1.0,10.0,10,0.16954770410467096,0.8304522958953291
3,3,100,0.1,l2,0.9,0.9,16,1.0,10.0,10,0.16955054503892986,0.8304494549610701
3,3,100,0.1,l1,0.9,0.9,48,0.1,1.0,10,0.16955079492626932,0.8304492050737307
9,9,100,0.1,l1,0.7,0.7,48,1.0,10.0,10,0.16955088038063146,0.8304491196193685
3,3,100,0.1,l1,0.7,0.7,16,1.0,10.0,10,0.16959880968300284,0.8304011903169972
5,5,100,0.1,l2,0.7,0.7,48,1.0,10.0,10,0.16959980399302468,0.8304001960069753
9,9,100,0.1,l1,0.7,0.7,48,0.1,1.0,10,0.1696274889885706,0.8303725110114294
3,3,100,0.1,l1,0.7,0.7,80,0.1,1.0,10,0.16963460617295528,0.8303653938270448
3,3,100,0.1,l1,0.7,0.7,48,1.0,10.0,10,0.16964310059574644,0.8303568994042536
3,3,100,0.1,l2,0.9,0.9,48,1.0,10.0,10,0.16964586972741644,0.8303541302725835
3,3,100,0.1,l1,0.7,0.7,48,0.1,1.0,10,0.16968461522355893,0.8303153847764411
5,5,100,0.1,l1,0.7,0.7,80,0.1,1.0,10,0.16969904362620183,0.8303009563737982
3,3,100,0.1,l1,0.7,0.7,16,0.1,1.0,10,0.16969954323689343,0.8303004567631066
3,3,100,0.1,l1,0.7,0.7,80,1.0,10.0,10,0.1697046735662263,0.8302953264337737
3,3,100,0.1,l1,0.7,0.7,112,0.1,1.0,10,0.169721344554704,0.830278655445296
3,3,100,0.1,l1,0.7,0.7,144,1.0,10.0,10,0.16975662131754019,0.8302433786824598
9,9,100,0.1,l1,0.7,0.7,144,1.0,10.0,10,0.1697667641947135,0.8302332358052865
5,5,100,0.1,l1,0.7,0.7,80,1.0,10.0,10,0.1697693210626644,0.8302306789373356
7,7,100,0.1,l1,0.7,0.7,80,1.0,10.0,10,0.16977097251338483,0.8302290274866152
7,7,100,0.1,l1,0.5,0.5,16,1.0,10.0,10,0.16979402810848176,0.8302059718915182
9,9,100,0.1,l1,0.7,0.7,80,1.0,10.0,10,0.16979776477649616,0.8302022352235039
3,3,100,0.1,l1,0.7,0.7,112,1.0,10.0,10,0.16979813359800952,0.8302018664019905
5,5,100,0.1,l1,0.7,0.7,144,1.0,10.0,10,0.1698014544103133,0.8301985455896868
7,7,100,0.1,l1,0.7,0.7,144,1.0,10.0,10,0.16980265563365893,0.8301973443663411
9,9,100,0.1,l1,0.7,0.7,112,1.0,10.0,10,0.16982836949850907,0.8301716305014909
7,7,100,0.1,l2,0.7,0.7,48,1.0,10.0,10,0.16982908427325757,0.8301709157267424
7,7,100,0.1,l1,0.7,0.7,80,0.1,1.0,10,0.16984041285595802,0.8301595871440419
5,5,100,0.1,l1,0.7,0.7,112,1.0,10.0,10,0.1698411758422626,0.8301588241577373
9,9,100,0.1,l1,0.7,0.7,112,0.1,1.0,10,0.16984986050865086,0.8301501394913491
9,9,100,0.1,l1,0.7,0.7,80,0.1,1.0,10,0.16986251003741726,0.8301374899625827
9,9,100,0.1,l2,0.7,0.7,48,1.0,10.0,10,0.16986392717967777,0.8301360728203222
7,7,100,0.1,l1,0.7,0.7,112,1.0,10.0,10,0.16987441096299935,0.8301255890370006
3,3,100,0.1,l2,0.7,0.7,16,1.0,10.0,10,0.16990879349502241,0.8300912065049776
5,5,100,0.1,l1,0.5,0.5,16,1.0,10.0,10,0.16992186672755108,0.830078133272449
3,3,100,0.1,l2,0.7,0.7,48,1.0,10.0,10,0.1699448754826798,0.8300551245173202
9,9,100,0.1,l1,0.5,0.5,16,0.1,1.0,10,0.16994987738094008,0.83005012261906
7,7,100,0.1,l1,0.5,0.5,16,0.1,1.0,10,0.16996199911271218,0.8300380008872879
9,9,100,0.1,l1,0.5,0.5,16,1.0,10.0,10,0.16996764984590318,0.8300323501540968
3,3,100,0.1,l2,0.7,0.7,80,1.0,10.0,10,0.17000325744502295,0.829996742554977
5,5,100,0.1,l2,0.7,0.7,80,1.0,10.0,10,0.17006868912377493,0.8299313108762251
7,7,100,0.1,l2,0.7,0.7,80,1.0,10.0,10,0.1700760263686164,0.8299239736313836
7,7,100,0.1,l2,0.5,0.5,16,1.0,10.0,10,0.17008130469712782,0.8299186953028722
3,3,100,0.1,l1,0.5,0.5,144,1.0,10.0,10,0.17009510044675552,0.8299048995532445
3,3,100,0.1,l2,0.7,0.7,112,1.0,10.0,10,0.17009605845237963,0.8299039415476204
3,3,100,0.1,l2,0.7,0.7,144,1.0,10.0,10,0.17009934761833784,0.8299006523816621
9,9,100,0.1,l2,0.7,0.7,80,1.0,10.0,10,0.1701043408036229,0.8298956591963771
5,5,100,0.1,l1,0.5,0.5,144,1.0,10.0,10,0.17011439367617134,0.8298856063238287
9,9,100,0.1,l2,0.7,0.7,144,1.0,10.0,10,0.1701171530680555,0.8298828469319445
5,5,100,0.1,l2,0.7,0.7,144,1.0,10.0,10,0.17012771037852875,0.8298722896214712
5,5,100,0.1,l2,0.7,0.7,112,1.0,10.0,10,0.17012774038646333,0.8298722596135366
9,9,100,0.1,l2,0.7,0.7,112,1.0,10.0,10,0.1701291413835996,0.8298708586164004
7,7,100,0.1,l2,0.7,0.7,144,1.0,10.0,10,0.17013991812458767,0.8298600818754123
7,7,100,0.1,l1,0.5,0.5,144,1.0,10.0,10,0.17014200160459184,0.8298579983954082
7,7,100,0.1,l2,0.7,0.7,112,1.0,10.0,10,0.1701663366611575,0.8298336633388426
5,5,100,0.1,l1,0.5,0.5,16,0.1,1.0,10,0.17020332408519037,0.8297966759148097
5,5,100,0.1,l2,0.5,0.5,16,1.0,10.0,10,0.17020809740513526,0.8297919025948648
9,9,100,0.1,l1,0.5,0.5,144,1.0,10.0,10,0.17021754573871176,0.8297824542612883
9,9,100,0.1,l2,0.5,0.5,16,1.0,10.0,10,0.17025753854988093,0.8297424614501191
5,5,100,0.1,l1,0.5,0.5,48,1.0,10.0,10,0.1702872801076088,0.8297127198923913
3,3,100,0.1,l1,0.5,0.5,16,1.0,10.0,10,0.17030266627941126,0.8296973337205887
7,7,100,0.1,l1,0.5,0.5,48,0.1,1.0,10,0.17033125601604493,0.8296687439839551
7,7,100,0.1,l1,0.5,0.5,48,1.0,10.0,10,0.170342351422672,0.8296576485773279
3,3,100,0.1,l1,0.5,0.5,80,1.0,10.0,10,0.17034921759681668,0.8296507824031834
5,5,100,0.1,l1,0.5,0.5,48,0.1,1.0,10,0.17035236543841195,0.8296476345615881
3,3,100,0.1,l1,0.5,0.5,112,1.0,10.0,10,0.17035844244318635,0.8296415575568137
9,9,100,0.1,l1,0.5,0.5,48,1.0,10.0,10,0.17036290499147305,0.829637095008527
9,9,200,0.05,l1,0.9,0.9,16,1.0,10.0,10,0.1704103327780499,0.82958966722195
5,5,100,0.1,l1,0.5,0.5,80,1.0,10.0,10,0.1704151214674363,0.8295848785325637
7,7,100,0.1,l1,0.5,0.5,112,1.0,10.0,10,0.17041760940678907,0.8295823905932109
9,9,100,0.1,l1,0.5,0.5,48,0.1,1.0,10,0.1704254117687619,0.8295745882312381
5,5,100,0.1,l1,0.5,0.5,112,1.0,10.0,10,0.17042593314010038,0.8295740668598997
3,3,100,0.1,l2,0.5,0.5,144,1.0,10.0,10,0.17043972972126117,0.8295602702787388
7,7,100,0.1,l1,0.5,0.5,80,1.0,10.0,10,0.1704493512832086,0.8295506487167914
5,5,100,0.1,l2,0.5,0.5,144,1.0,10.0,10,0.1704590986406836,0.8295409013593165
3,3,100,0.1,l1,0.5,0.5,48,1.0,10.0,10,0.17046566455117823,0.8295343354488218
3,3,100,0.1,l1,0.5,0.5,48,0.1,1.0,10,0.17047460031439646,0.8295253996856036
7,7,100,0.1,l2,0.5,0.5,144,1.0,10.0,10,0.17048525501698866,0.8295147449830114
7,7,200,0.05,l1,0.9,0.9,16,1.0,10.0,10,0.1704869035487878,0.8295130964512122
9,9,100,0.1,l1,0.5,0.5,112,1.0,10.0,10,0.17049589222928502,0.829504107770715
9,9,100,0.1,l1,0.5,0.5,80,1.0,10.0,10,0.17051468239451364,0.8294853176054864
9,9,100,0.1,l2,0.5,0.5,144,1.0,10.0,10,0.17056007418619124,0.8294399258138088
5,5,100,0.1,l2,0.5,0.5,48,1.0,10.0,10,0.17059291218645925,0.8294070878135408
3,3,100,0.1,l2,0.5,0.5,16,1.0,10.0,10,0.17061398155945864,0.8293860184405414
5,5,200,0.05,l1,0.9,0.9,16,1.0,10.0,10,0.17063132279783597,0.829368677202164
7,7,100,0.1,l2,0.5,0.5,48,1.0,10.0,10,0.17064660663563777,0.8293533933643622
3,3,100,0.1,l2,0.5,0.5,80,1.0,10.0,10,0.17065502794915338,0.8293449720508466
3,3,100,0.1,l2,0.5,0.5,112,1.0,10.0,10,0.17067223200379805,0.8293277679962019
9,9,100,0.1,l2,0.5,0.5,48,1.0,10.0,10,0.1706763381504292,0.8293236618495707
9,9,200,0.05,l2,0.9,0.9,16,1.0,10.0,10,0.170681542714147,0.829318457285853
5,5,100,0.1,l2,0.5,0.5,80,1.0,10.0,10,0.17072782650267485,0.8292721734973252
7,7,100,0.1,l2,0.5,0.5,112,1.0,10.0,10,0.17073742142476164,0.8292625785752383
5,5,100,0.1,l2,0.5,0.5,112,1.0,10.0,10,0.17074274327740757,0.8292572567225924
7,7,200,0.05,l2,0.9,0.9,16,1.0,10.0,10,0.17075673932672922,0.8292432606732708
7,7,200,0.05,l1,0.9,0.9,144,1.0,10.0,10,0.17076284293939314,0.8292371570606069
9,9,200,0.05,l1,0.9,0.9,144,1.0,10.0,10,0.1707629321036909,0.8292370678963091
7,7,100,0.1,l2,0.5,0.5,80,1.0,10.0,10,0.17076876985888279,0.8292312301411172
