num_leaves_LGB,min_child_samples_LGB,max_depth_random,max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,reg_lambda_LGB,min_samples_split_random,max_features_random,max_samples_random,subsample_LGB,colsample_bytree_LGB,min_samples_leaf_random,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
10,10,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,7,112,0.1,10,0.161968661,0.838031339
14,14,3,3,100,0.1,200,1,16,0.9,0.9,0.5,0.5,9,144,1,10,0.161995285,0.838004715
14,14,3,3,50,0.2,100,5,80,0.7,0.7,0.7,0.7,5,80,0.1,10,0.162183549,0.837816451
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,7,112,1,10,0.162221896,0.837778104
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,3,48,0.1,10,0.162338964,0.837661036
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,3,48,1,10,0.162341598,0.837658402
14,14,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,9,144,0.1,10,0.162448296,0.837551704
10,10,5,5,50,0.2,100,3,48,0.7,0.7,0.7,0.7,5,80,1,10,0.162566319,0.837433681
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,1,10,0.162848843,0.837151157
14,14,3,3,50,0.2,100,1,16,0.9,0.9,0.5,0.5,5,80,1,10,0.162991645,0.837008355
10,10,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,0.1,10,0.163054417,0.836945583
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,0.1,10,0.163129605,0.836870395
14,14,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.163187505,0.836812495
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,0.01,10,0.163212017,0.836787983
10,10,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,3,48,0.01,10,0.163230731,0.836769269
10,10,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,7,112,0.1,10,0.16326165,0.83673835
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,0.1,10,0.163427828,0.836572172
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,9,144,0.01,10,0.163495184,0.836504816
10,10,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,0.01,10,0.163510356,0.836489644
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,1,10,0.163544678,0.836455322
10,10,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,1,10,0.163651554,0.836348446
10,10,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,9,144,1,10,0.163683724,0.836316276
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.16369359,0.83630641
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,7,112,0.1,10,0.163713945,0.836286055
14,14,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,1,10,0.163863658,0.836136342
