max_depth_LGB,num_iterations_LGB,learning_rate_LGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2,mse_y,auc_t
7,100,0.2,96,96,15,0.7,0.7,80,0.1,10,0.095371619,0.904628381,1.07860209,0.504037149
7,200,0.1,96,96,15,0.5,0.5,16,0.01,10,0.09537567,0.90462433,1.07631384,0.504037149
7,100,0.2,96,96,15,0.5,0.5,48,0.01,10,0.095465728,0.904534272,1.081927073,0.504037149
9,200,0.1,64,64,10,0.5,0.5,16,0.01,10,0.095481339,0.904518661,1.087478333,0.504037149
7,100,0.2,96,96,15,0.5,0.5,144,0.01,10,0.095486937,0.904513063,1.082907714,0.504037149
5,100,0.2,32,32,5,0.7,0.7,48,0.1,10,0.095489135,0.904510865,1.110226797,0.504037149
9,100,0.2,128,128,20,0.5,0.5,16,1,10,0.095493371,0.904506629,1.068633633,0.504037149
7,100,0.2,128,128,20,0.5,0.5,16,1,10,0.095493371,0.904506629,1.067791546,0.504037149
9,200,0.1,32,32,5,0.7,0.7,112,0.01,10,0.095532255,0.904467745,1.1278818,0.504037149
9,200,0.1,96,96,15,0.5,0.5,144,0.1,10,0.095568774,0.904431226,1.084663783,0.504037149
9,100,0.2,64,64,10,0.5,0.5,144,0.01,10,0.095636145,0.904363855,1.097687833,0.504037149
5,200,0.1,64,64,10,0.5,0.5,16,1,10,0.095640175,0.904359825,1.078928597,0.504037149
5,200,0.1,96,96,15,0.7,0.7,48,0.1,10,0.095786613,0.904213387,1.075692108,0.504037149
7,100,0.2,96,96,15,0.5,0.5,112,0.01,10,0.095804246,0.904195754,1.085043527,0.504037149
5,200,0.1,32,32,5,0.5,0.5,144,0.1,10,0.095937622,0.904062378,1.097137162,0.504037149
7,100,0.2,64,64,10,0.5,0.5,112,0.01,10,0.095945645,0.904054355,1.096824365,0.504037149
5,200,0.1,96,96,15,0.5,0.5,80,1,10,0.096012682,0.903987318,1.076722133,0.504037149
