max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,n_estimators_random,learning_rate_XGB,min_samples_split_random,min_samples_leaf_random,subsample_XGB,colsample_bytree_XGB,max_features_random,max_samples_random,max_depth_random,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
5,5,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,0.1,10,0.444721202,0.555278798
5,5,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,1,10,0.44476824,0.55523176
7,7,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,0.01,10,0.444852141,0.555147859
7,7,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,0.1,10,0.44486033,0.55513967
7,7,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,1,10,0.444940464,0.555059536
9,9,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,0.1,10,0.445031696,0.554968304
9,9,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,0.01,10,0.445035515,0.554964485
9,9,200,200,0.05,32,32,0.5,0.5,0.9,0.9,5,80,1,10,0.445077644,0.554922356
3,3,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.446844352,0.553155648
3,3,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,0.01,10,0.446845501,0.553154499
5,5,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,0.01,10,0.446916831,0.553083169
3,3,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,1,10,0.446924344,0.553075656
5,5,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.446925997,0.553074003
5,5,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,1,10,0.446944292,0.553055708
7,7,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,0.01,10,0.446987313,0.553012687
7,7,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.446995358,0.553004642
7,7,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,1,10,0.447047075,0.552952925
9,9,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,0.01,10,0.44705894,0.55294106
9,9,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.447065625,0.552934375
9,9,200,200,0.05,16,16,0.7,0.7,0.7,0.7,9,144,1,10,0.447092378,0.552907622
3,3,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.450265138,0.549734862
3,3,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.450269671,0.549730329
3,3,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.450278675,0.549721325
3,3,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.450294844,0.549705156
5,5,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.450306394,0.549693606
5,5,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,1,10,0.450314337,0.549685663
5,5,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.450321111,0.549678889
7,7,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.450335491,0.549664509
7,7,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.450340409,0.549659591
3,3,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,1,10,0.450343869,0.549656131
3,3,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,1,10,0.450385711,0.549614289
5,5,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.450386851,0.549613149
7,7,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,1,10,0.450390198,0.549609802
5,5,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.450392911,0.549607089
5,5,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,1,10,0.450434929,0.549565071
9,9,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.45043936,0.54956064
9,9,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.450443291,0.549556709
9,9,200,200,0.05,16,16,0.7,0.7,0.7,0.7,7,112,1,10,0.450481951,0.549518049
7,7,200,200,0.05,16,16,0.5,0.5,0.9,0.9,5,80,0.01,10,0.450511616,0.549488384
