max_depth_XGB,reg_lambda_XGB,reg_lambda_LGB,learning_rate_XGB,n_estimators_XGB,num_leaves_LGB,min_child_samples_LGB,subsample_XGB,colsample_bytree_XGB,subsample_LGB,colsample_bytree_LGB,max_depth_LGB,min_child_weight_XGB,max_bin_LGB,reg_alpha_XGB,reg_alpha_LGB,learning_rate_XGB,num_iterations_LGB,degree,mse,r2
9,9,2.8125,0.05,200,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.190332459,0.809667541
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.190391957,0.809608043
7,7,2.1875,0.05,200,128,128,0.5,0.5,0.9,0.9,9,144,144,0.01,0.01,0.1,100,10,0.190486505,0.809513495
5,5,1.5625,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.190557221,0.809442779
5,5,1.5625,0.1,100,128,128,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.05,200,10,0.190654016,0.809345984
9,9,2.8125,0.05,200,96,96,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.190721339,0.809278661
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.190763714,0.809236286
7,7,2.1875,0.05,200,96,96,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.190836937,0.809163063
9,9,2.8125,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.190849833,0.809150167
5,5,1.5625,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.1,100,10,0.190852435,0.809147565
5,5,1.5625,0.1,100,64,64,0.5,0.5,0.9,0.9,7,112,112,1,1,0.05,200,10,0.190959377,0.809040623
7,7,2.1875,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.191010127,0.808989873
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.191041454,0.808958546
5,5,1.5625,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,1,1,0.1,100,10,0.191121994,0.808878006
5,5,1.5625,0.1,100,64,64,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.1,100,10,0.19112776,0.80887224
9,9,2.8125,0.05,200,128,128,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.1,100,10,0.191146763,0.808853237
5,5,1.5625,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,0.1,0.1,0.1,100,10,0.191150318,0.808849682
5,5,1.5625,0.05,200,128,128,0.7,0.7,0.7,0.7,9,144,144,0.01,0.01,0.1,100,10,0.191156981,0.808843019
9,9,2.8125,0.1,100,32,32,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.1,100,10,0.191208487,0.808791513
5,5,1.5625,0.05,200,64,64,0.5,0.5,0.9,0.9,7,112,112,1,1,0.05,200,10,0.191261837,0.808738163
7,7,2.1875,0.05,200,64,64,0.5,0.5,0.9,0.9,7,112,112,1,1,0.1,100,10,0.191288481,0.808711519
7,7,2.1875,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,1,1,0.05,200,10,0.191296096,0.808703904
9,9,2.8125,0.1,100,96,96,0.9,0.9,0.5,0.5,5,80,80,0.01,0.01,0.1,100,10,0.1913092,0.8086908
