min_samples_split_randomc,n_estimators_randomr,n_estimators_randomc,max_depth_randomr,max_depth_randomc,min_samples_split_randomr,max_features_randomr,max_samples_randomr,max_features_randomc,max_samples_randomc,min_samples_leaf_randomr,min_samples_leaf_randomc,degree,mse,r2
48,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.1916438682377659,0.8083561317622341
48,50,100,7,7,48,0.7,0.7,0.7,0.7,9,9,10,0.191964586399675,0.8080354136003249
80,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.1922413970735979,0.8077586029264021
48,50,100,7,7,48,0.7,0.7,0.7,0.7,5,5,10,0.19262505318549483,0.8073749468145052
48,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.19281384779040536,0.8071861522095947
48,50,100,7,7,48,0.7,0.7,0.7,0.7,7,7,10,0.19294821288301092,0.8070517871169891
16,100,50,7,7,48,0.7,0.7,0.7,0.7,1,1,10,0.1930321144878482,0.8069678855121518
48,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.19372736834472057,0.8062726316552794
16,50,100,7,7,48,0.7,0.7,0.7,0.7,3,3,10,0.19377249875054342,0.8062275012494566
48,100,50,7,7,48,0.7,0.7,0.7,0.7,7,7,10,0.19399728990873874,0.8060027100912612
16,50,100,7,7,48,0.7,0.7,0.7,0.7,5,5,10,0.19476656597023537,0.8052334340297647
48,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,9,9,10,0.19510764378221018,0.8048923562177899
16,100,50,7,7,48,0.7,0.7,0.7,0.7,7,7,10,0.1951474457088251,0.8048525542911749
48,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.19527033072529912,0.8047296692747009
48,100,50,7,7,48,0.7,0.7,0.7,0.7,9,9,10,0.19530142786968724,0.8046985721303128
16,50,100,7,7,48,0.7,0.7,0.7,0.7,1,1,10,0.19544210999923295,0.804557890000767
48,50,100,7,7,48,0.7,0.7,0.7,0.7,3,3,10,0.19587772556035452,0.8041222744396455
80,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,5,5,10,0.1959721931222035,0.8040278068777965
48,100,50,7,7,48,0.7,0.7,0.7,0.7,3,3,10,0.19602607036418013,0.8039739296358199
48,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.19617671616863208,0.8038232838313679
80,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.1962162855257309,0.8037837144742691
16,100,50,7,7,48,0.7,0.7,0.7,0.7,9,9,10,0.19648574862499196,0.803514251375008
48,50,100,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.19670784207652625,0.8032921579234737
48,100,50,7,7,48,0.7,0.7,0.7,0.7,1,1,10,0.19674743807293574,0.8032525619270643
80,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.19713453762889432,0.8028654623711057
16,100,50,7,7,48,0.7,0.7,0.7,0.7,5,5,10,0.1975176491116878,0.8024823508883122
48,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.19763123932890184,0.8023687606710982
16,50,100,7,7,48,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.19763245323715228,0.8023675467628477
80,100,50,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.19780974496896184,0.8021902550310381
80,50,100,7,7,48,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.19825529840925815,0.8017447015907418
16,100,50,9,9,16,0.5,0.5,0.8999999999999999,0.8999999999999999,1,1,10,0.1982931230277649,0.8017068769722351
