n_estimators_random,penalty_逻辑回归,max_features_random,max_samples_random,min_samples_leaf_random,max_depth_random,min_samples_split_random,C_逻辑回归,degree,mse,r2,mse_y,auc_t
50,l1,0.7,0.7,5,5,48,0.1,10,0.146425076,0.853574924,1.06095441,0.5
50,l1,0.9,0.9,7,7,80,0.1,10,0.146426093,0.853573907,1.061791357,0.5
50,l2,0.9,0.9,9,9,112,0.1,10,0.146455761,0.853544239,1.058782042,0.50672502
100,l2,0.7,0.7,9,9,112,0.1,10,0.152848319,0.847151681,1.059963252,0.50672502
100,l2,0.5,0.5,3,3,16,1,10,0.153539957,0.846460043,1.064485755,0.506313556
100,l2,0.5,0.5,3,3,16,0.1,10,0.153873425,0.846126575,1.064485755,0.50672502
50,l1,0.5,0.5,3,3,16,0.1,10,0.153975263,0.846024737,1.061790339,0.5
100,l1,0.5,0.5,3,3,16,10,10,0.154161917,0.845838083,1.064485755,0.507590696
100,l1,0.5,0.5,3,3,16,1,10,0.154246325,0.845753675,1.064485755,0.513925627
100,l2,0.5,0.5,3,3,16,10,10,0.154313403,0.845686597,1.064485755,0.506254776
100,l2,0.5,0.5,9,9,112,1,10,0.155086906,0.844913094,1.060508542,0.506313556
100,l2,0.5,0.5,9,9,112,0.1,10,0.155206534,0.844793466,1.060508542,0.50672502
100,l1,0.5,0.5,9,9,112,10,10,0.155706064,0.844293936,1.060508542,0.507590696
100,l1,0.5,0.5,9,9,112,1,10,0.155748226,0.844251774,1.060508542,0.513925627
100,l2,0.5,0.5,9,9,112,10,10,0.155867367,0.844132633,1.060508542,0.506254776
100,l2,0.9,0.9,9,9,112,0.1,10,0.156199659,0.843800341,1.058644564,0.50672502
50,l1,0.5,0.5,9,9,112,1,10,0.156396159,0.843603841,1.060011446,0.513925627
50,l1,0.9,0.9,9,9,112,0.1,10,0.156454655,0.843545345,1.058782042,0.5
50,l2,0.5,0.5,9,9,112,1,10,0.157853389,0.842146611,1.060011446,0.506313556
50,l2,0.5,0.5,9,9,112,0.1,10,0.157911554,0.842088446,1.060011446,0.50672502
100,l1,0.7,0.7,3,3,16,1,10,0.158334948,0.841665052,1.063726436,0.513925627
50,l2,0.7,0.7,9,9,112,0.1,10,0.158358865,0.841641135,1.059722849,0.50672502
