min_child_samples_LGBC,num_leaves_LGBC,reg_lambda_LGBC,learning_rate_LGBR,num_iterations_LGBR,num_leaves_LGBR,min_child_samples_LGBR,reg_lambda_LGBR,subsample_LGBR,colsample_bytree_LGBR,subsample_LGBC,colsample_bytree_LGBC,max_bin_LGBR,max_bin_LGBC,max_depth_LGBR,max_depth_LGBC,reg_alpha_LGBR,reg_alpha_LGBC,learning_rate_LGBC,num_iterations_LGBC,degree,mse,r2,mse_y,auc_t
16,16,1.5625,0.1,200,96,96,15,0.5,0.5,0.9,0.9,112,112,7,7,1,1,0.05,200,10,0.103493117,0.896506883,1.079763232,0.5194216
32,32,2.1875,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.05,200,10,0.10350095,0.89649905,1.087036003,0.523891587
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.05,200,10,0.103591016,0.896408984,1.070579012,0.514077922
48,48,2.8125,0.1,200,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,1,1,0.05,200,10,0.10363656,0.89636344,1.099442772,0.515061158
16,16,1.5625,0.2,100,96,96,15,0.5,0.5,0.9,0.9,144,144,9,9,1,1,0.05,200,10,0.103712375,0.896287625,1.083595182,0.516859306
48,48,2.8125,0.1,200,32,32,5,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.1,100,10,0.103822724,0.896177276,1.080025481,0.512389319
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.05,200,10,0.103829937,0.896170063,1.092646203,0.500366042
32,32,2.1875,0.2,100,64,64,10,0.7,0.7,0.7,0.7,144,144,9,9,0.1,0.1,0.1,100,10,0.103838911,0.896161089,1.105063606,0.521975879
16,16,1.5625,0.1,200,32,32,5,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.05,200,10,0.103843257,0.896156743,1.118945136,0.50838156
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,112,112,7,7,0.1,0.1,0.1,100,10,0.103868168,0.896131832,1.091472683,0.511574408
32,32,2.1875,0.2,100,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.1,100,10,0.103881845,0.896118155,1.091665784,0.52633632
48,48,2.8125,0.1,200,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,0.01,0.01,0.1,100,10,0.103911504,0.896088496,1.079103913,0.523143472
16,16,1.5625,0.2,100,32,32,5,0.7,0.7,0.7,0.7,80,80,5,5,0.01,0.01,0.1,100,10,0.103941506,0.896058494,1.099321632,0.526798549
32,32,2.1875,0.1,200,64,64,10,0.9,0.9,0.5,0.5,112,112,7,7,0.01,0.01,0.1,100,10,0.10396131,0.89603869,1.100907461,0.513263011
16,16,1.5625,0.2,100,96,96,15,0.5,0.5,0.9,0.9,144,144,9,9,0.1,0.1,0.1,100,10,0.103976058,0.896023942,1.084714528,0.508902569
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,1,1,0.05,200,10,0.10400846,0.89599154,1.095772046,0.516859306
48,48,2.8125,0.1,200,64,64,10,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.05,200,10,0.104168511,0.895831489,1.070579012,0.510885074
16,16,1.5625,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.05,200,10,0.10421342,0.89578658,1.075587961,0.511876326
48,48,2.8125,0.1,200,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,1,1,0.1,100,10,0.104277175,0.895722825,1.08039354,0.512691237
32,32,2.1875,0.2,100,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.1,100,10,0.104292013,0.895707987,1.092646203,0.507398323
16,16,1.5625,0.2,100,32,32,5,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.1,100,10,0.104292364,0.895707636,1.107563957,0.514834052
32,32,2.1875,0.1,200,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.1,100,10,0.104348273,0.895651727,1.087874335,0.516463874
16,16,1.5625,0.2,100,96,96,15,0.7,0.7,0.7,0.7,112,112,7,7,1,1,0.05,200,10,0.104352531,0.895647469,1.084617702,0.525697751
32,32,2.1875,0.2,100,32,32,5,0.7,0.7,0.7,0.7,48,48,3,3,0.1,0.1,0.05,200,10,0.104377016,0.895622984,1.075587961,0.525815312
16,16,1.5625,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.05,200,10,0.104385935,0.895614065,1.088420392,0.500366042
32,32,2.1875,0.2,100,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.05,200,10,0.104476343,0.895523657,1.091598478,0.518505159
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.1,0.1,0.05,200,10,0.104518855,0.895481145,1.091665784,0.493333761
16,16,1.5625,0.2,100,96,96,15,0.5,0.5,0.9,0.9,144,144,9,9,1,1,0.1,100,10,0.104554071,0.895445929,1.083595182,0.519597942
48,48,2.8125,0.1,200,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,1,1,0.1,100,10,0.104621913,0.895378087,1.087874335,0.519539161
