num_leaves_LGB,min_child_samples_LGB,max_depth_random,max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,reg_lambda_LGB,min_samples_split_random,max_features_random,max_samples_random,subsample_LGB,colsample_bytree_LGB,min_samples_leaf_random,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
32,32,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,3,48,0.01,10,0.163230731,0.836769269
32,32,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,7,112,0.1,10,0.16326165,0.83673835
32,32,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,0.1,10,0.163427828,0.836572172
32,32,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,9,144,0.01,10,0.163495184,0.836504816
32,32,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,0.01,10,0.163510356,0.836489644
32,32,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,1,10,0.163544678,0.836455322
32,32,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,1,10,0.163651554,0.836348446
32,32,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,9,144,1,10,0.163683724,0.836316276
32,32,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.16369359,0.83630641
32,32,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,7,112,0.1,10,0.163713945,0.836286055
64,64,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,1,10,0.163863658,0.836136342
32,32,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,5,80,1,10,0.163900276,0.836099724
32,32,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,9,144,1,10,0.163985523,0.836014477
64,64,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,1,10,0.164024382,0.835975618
32,32,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.164046962,0.835953038
32,32,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,9,144,0.1,10,0.164079957,0.835920043
32,32,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,3,48,1,10,0.164109683,0.835890317
32,32,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,3,48,0.1,10,0.164158895,0.835841105
64,64,3,3,100,0.1,200,1,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.16416787,0.83583213
32,32,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,9,144,1,10,0.164196373,0.835803627
32,32,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,7,112,0.01,10,0.164208744,0.835791256
32,32,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,9,144,0.1,10,0.164263937,0.835736063
32,32,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,7,112,1,10,0.164305515,0.835694485
64,64,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,9,144,1,10,0.164396366,0.835603634
32,32,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,7,112,0.01,10,0.164503074,0.835496926
32,32,5,5,50,0.2,100,1,16,0.5,0.5,0.9,0.9,5,80,1,10,0.164515883,0.835484117
64,64,3,3,100,0.1,200,5,80,0.9,0.9,0.5,0.5,9,144,0.1,10,0.164533276,0.835466724
64,64,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.164535403,0.835464597
32,32,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,5,80,1,10,0.164581857,0.835418143
32,32,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,9,144,0.01,10,0.164727131,0.835272869
64,64,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,0.01,10,0.164802982,0.835197018
64,64,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,5,80,1,10,0.164873535,0.835126465
64,64,3,3,50,0.2,100,3,48,0.7,0.7,0.7,0.7,5,80,0.1,10,0.164930964,0.835069036
32,32,5,5,50,0.2,100,3,48,0.7,0.7,0.7,0.7,5,80,0.1,10,0.16506166,0.83493834
32,32,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,3,48,1,10,0.165065662,0.834934338
32,32,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,7,112,0.01,10,0.165192721,0.834807279
32,32,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,9,144,0.1,10,0.165259044,0.834740956
32,32,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,0.1,10,0.165634232,0.834365768
64,64,3,3,50,0.2,100,3,48,0.5,0.5,0.9,0.9,3,48,1,10,0.165635105,0.834364895
32,32,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,9,144,1,10,0.165694279,0.834305721
32,32,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,9,144,1,10,0.165753558,0.834246442
32,32,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,3,48,1,10,0.165754001,0.834245999
32,32,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,1,10,0.165776561,0.834223439
64,64,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,3,48,1,10,0.165848344,0.834151656
32,32,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,5,80,1,10,0.165880667,0.834119333
32,32,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,7,112,1,10,0.166083019,0.833916981
32,32,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,5,80,0.1,10,0.166127931,0.833872069
32,32,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,0.1,10,0.166155182,0.833844818
64,64,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,5,80,0.1,10,0.166243514,0.833756486
64,64,3,3,50,0.2,100,3,48,0.9,0.9,0.5,0.5,7,112,0.1,10,0.166390966,0.833609034
32,32,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,7,112,0.1,10,0.166393676,0.833606324
64,64,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,0.1,10,0.166436674,0.833563326
64,64,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,5,80,0.1,10,0.166458727,0.833541273
32,32,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,3,48,0.1,10,0.166480774,0.833519226
64,64,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,0.1,10,0.166607565,0.833392435
32,32,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,5,80,1,10,0.166691716,0.833308284
32,32,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,1,10,0.166741884,0.833258116
32,32,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,3,48,1,10,0.166773577,0.833226423
32,32,5,5,50,0.2,100,3,48,0.5,0.5,0.9,0.9,7,112,1,10,0.166872564,0.833127436
32,32,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,1,10,0.167204204,0.832795796
32,32,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,7,112,0.1,10,0.167234086,0.832765914
64,64,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.167335342,0.832664658
32,32,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,3,48,0.1,10,0.167384783,0.832615217
64,64,3,3,100,0.1,200,1,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.167512602,0.832487398
32,32,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.16758082,0.83241918
32,32,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,9,144,1,10,0.167692784,0.832307216
32,32,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,3,48,0.01,10,0.167763946,0.832236054
32,32,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,7,112,0.01,10,0.167796103,0.832203897
32,32,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,3,48,0.01,10,0.167802054,0.832197946
64,64,3,3,100,0.1,200,5,80,0.9,0.9,0.5,0.5,7,112,0.1,10,0.167808952,0.832191048
64,64,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,9,144,0.1,10,0.16784551,0.83215449
64,64,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,0.01,10,0.167919711,0.832080289
64,64,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,3,48,0.01,10,0.167974546,0.832025454
32,32,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,9,144,0.1,10,0.168268074,0.831731926
64,64,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,5,80,1,10,0.16829088,0.83170912
64,64,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,1,10,0.168292937,0.831707063
64,64,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.168359745,0.831640255
64,64,3,3,50,0.2,100,5,80,0.7,0.7,0.7,0.7,3,48,0.1,10,0.168389634,0.831610366
32,32,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,9,144,1,10,0.168391235,0.831608765
64,64,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,0.1,10,0.168528752,0.831471248
32,32,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,3,48,1,10,0.168600923,0.831399077
32,32,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,9,144,1,10,0.168668508,0.831331492
64,64,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,0.1,10,0.168726523,0.831273477
32,32,5,5,50,0.2,100,3,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.168820716,0.831179284
32,32,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,9,144,0.1,10,0.168843045,0.831156955
32,32,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,7,112,1,10,0.168885913,0.831114087
64,64,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,9,144,0.01,10,0.168906589,0.831093411
32,32,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,0.01,10,0.168924945,0.831075055
32,32,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.168957241,0.831042759
32,32,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,0.1,10,0.169065431,0.830934569
64,64,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,3,48,1,10,0.169082687,0.830917313
64,64,3,3,100,0.1,200,1,16,0.9,0.9,0.5,0.5,7,112,1,10,0.169095364,0.830904636
64,64,3,3,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,0.01,10,0.169111054,0.830888946
32,32,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,3,48,0.1,10,0.169126682,0.830873318
64,64,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,7,112,1,10,0.169146334,0.830853666
64,64,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,1,10,0.169166827,0.830833173
32,32,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,9,144,0.01,10,0.16924228,0.83075772
64,64,3,3,100,0.1,200,1,16,0.9,0.9,0.5,0.5,7,112,0.01,10,0.169349097,0.830650903
32,32,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,9,144,0.01,10,0.169415485,0.830584515
32,32,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,0.01,10,0.169696857,0.830303143
64,64,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,0.01,10,0.169921294,0.830078706
64,64,3,3,100,0.1,200,1,16,0.7,0.7,0.7,0.7,9,144,1,10,0.169932681,0.830067319
64,64,3,3,100,0.1,200,5,80,0.9,0.9,0.5,0.5,7,112,0.01,10,0.16994505,0.83005495
64,64,3,3,50,0.2,100,3,48,0.7,0.7,0.7,0.7,7,112,0.01,10,0.170187861,0.829812139
32,32,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.170195842,0.829804158
64,64,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,0.01,10,0.170261084,0.829738916
64,64,3,3,50,0.2,100,3,48,0.5,0.5,0.9,0.9,3,48,0.01,10,0.170418276,0.829581724
64,64,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,3,48,1,10,0.170457282,0.829542718
32,32,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,3,48,0.01,10,0.170473725,0.829526275
32,32,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,3,48,0.01,10,0.170493226,0.829506774
64,64,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.170599825,0.829400175
32,32,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,3,48,0.01,10,0.170694423,0.829305577
32,32,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,3,48,0.01,10,0.170787353,0.829212647
64,64,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,5,80,1,10,0.171037494,0.828962506
32,32,5,5,50,0.2,100,3,48,0.7,0.7,0.7,0.7,7,112,1,10,0.171063012,0.828936988
64,64,3,3,50,0.2,100,3,48,0.9,0.9,0.5,0.5,5,80,0.01,10,0.171161319,0.828838681
64,64,3,3,100,0.1,200,1,16,0.5,0.5,0.9,0.9,5,80,1,10,0.171506675,0.828493325
64,64,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,0.1,10,0.171821275,0.828178725
64,64,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,1,10,0.171946205,0.828053795
32,32,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,9,144,1,10,0.17202206,0.82797794
64,64,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,3,48,0.1,10,0.172042096,0.827957904
32,32,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,3,48,1,10,0.172163681,0.827836319
64,64,3,3,50,0.2,100,5,80,0.7,0.7,0.7,0.7,9,144,0.01,10,0.172174118,0.827825882
64,64,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,0.01,10,0.172223006,0.827776994
32,32,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,9,144,0.01,10,0.17241695,0.82758305
64,64,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,0.1,10,0.172420774,0.827579226
32,32,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,3,48,1,10,0.172458469,0.827541531
32,32,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,3,48,1,10,0.172630445,0.827369555
64,64,3,3,50,0.2,100,5,80,0.7,0.7,0.7,0.7,5,80,0.01,10,0.172714884,0.827285116
64,64,3,3,100,0.1,200,1,16,0.5,0.5,0.9,0.9,3,48,1,10,0.172750429,0.827249571
32,32,5,5,50,0.2,100,5,80,0.9,0.9,0.5,0.5,3,48,0.1,10,0.172850952,0.827149048
32,32,5,5,50,0.2,100,3,48,0.5,0.5,0.9,0.9,9,144,0.01,10,0.172974944,0.827025056
