max_depth_XGBR,reg_lambda_XGBR,n_estimators_XGBR,learning_rate_XGBR,max_depth_XGBC,reg_lambda_XGBC,subsample_XGBR,colsample_bytree_XGBR,subsample_XGBC,colsample_bytree_XGBC,min_child_weight_XGBR,min_child_weight_XGBC,reg_alpha_XGBR,reg_alpha_XGBC,n_estimators_XGBC,learning_rate_XGBR,degree,mse,r2
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,1,1,200,0.05,10,0.201915269,0.798084731
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,100,0.1,10,0.202036477,0.797963523
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,0.01,0.01,200,0.05,10,0.202074526,0.797925474
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,1,1,200,0.05,10,0.202117577,0.797882423
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,100,0.1,10,0.202120642,0.797879358
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,1,1,200,0.05,10,0.202239172,0.797760828
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,200,0.05,10,0.202273956,0.797726044
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,200,0.05,10,0.2023308,0.7976692
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,200,0.05,10,0.202583001,0.797416999
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,0.1,0.1,200,0.05,10,0.202684499,0.797315501
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,200,0.05,10,0.202724899,0.797275101
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.01,0.01,200,0.05,10,0.202772631,0.797227369
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,0.1,0.1,200,0.05,10,0.202910618,0.797089382
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,100,0.1,10,0.202938799,0.797061201
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,0.1,0.1,200,0.05,10,0.202953786,0.797046214
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,200,0.05,10,0.203021059,0.796978941
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,1,1,100,0.1,10,0.203046938,0.796953062
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,100,0.1,10,0.203130841,0.796869159
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,100,0.1,10,0.203205254,0.796794746
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,1,1,100,0.1,10,0.203281503,0.796718497
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,1,1,100,0.1,10,0.203352077,0.796647923
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,100,0.1,10,0.203442165,0.796557835
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,100,0.1,10,0.203461793,0.796538207
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,100,0.1,10,0.203524902,0.796475098
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,1,1,200,0.05,10,0.203576496,0.796423504
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,200,0.05,10,0.203626377,0.796373623
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,100,0.1,10,0.203642084,0.796357916
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,1,1,200,0.05,10,0.204025081,0.795974919
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,100,0.1,10,0.204132037,0.795867963
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,200,0.05,10,0.204199102,0.795800898
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,200,0.05,10,0.204416854,0.795583146
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.01,0.01,200,0.05,10,0.204646466,0.795353534
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,1,1,200,0.05,10,0.204736285,0.795263715
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,1,1,200,0.05,10,0.204988407,0.795011593
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,1,1,200,0.05,10,0.205063572,0.794936428
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,100,0.1,10,0.205475407,0.794524593
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,100,0.1,10,0.205611523,0.794388477
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,100,0.1,10,0.205638195,0.794361805
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,0.1,0.1,100,0.1,10,0.205703109,0.794296891
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,100,0.1,10,0.205795571,0.794204429
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,100,0.1,10,0.205848268,0.794151732
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,100,0.1,10,0.205867944,0.794132056
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.1,0.1,100,0.1,10,0.205985511,0.794014489
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,100,0.1,10,0.206018551,0.793981449
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,100,0.1,10,0.206160465,0.793839535
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,100,0.1,10,0.206272997,0.793727003
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,16,16,0.1,0.1,100,0.1,10,0.206279302,0.793720698
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,0.01,0.01,200,0.05,10,0.206296602,0.793703398
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,16,16,1,1,200,0.05,10,0.20632031,0.79367969
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,100,0.1,10,0.206364255,0.793635745
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.1,0.1,100,0.1,10,0.206364414,0.793635586
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,1,1,100,0.1,10,0.206484721,0.793515279
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,0.01,0.01,200,0.05,10,0.206511525,0.793488475
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,100,0.1,10,0.20654195,0.79345805
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,80,80,0.01,0.01,200,0.05,10,0.206581245,0.793418755
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,200,0.05,10,0.206593799,0.793406201
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,1,1,100,0.1,10,0.206675343,0.793324657
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,32,32,1,1,100,0.1,10,0.206697637,0.793302363
5,5,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,1,1,100,0.1,10,0.206797807,0.793202193
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,1,1,100,0.1,10,0.206985441,0.793014559
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,80,80,1,1,100,0.1,10,0.207091263,0.792908737
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,200,0.05,10,0.207226398,0.792773602
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,100,0.1,10,0.20723602,0.79276398
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,1,1,200,0.05,10,0.207301167,0.792698833
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,200,0.05,10,0.207307687,0.792692313
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,200,0.05,10,0.207444601,0.792555399
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,200,0.05,10,0.207572355,0.792427645
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,1,1,200,0.05,10,0.20760273,0.79239727
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,200,0.05,10,0.207635044,0.792364956
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,80,80,1,1,200,0.05,10,0.20766086,0.79233914
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,200,0.05,10,0.207690506,0.792309494
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,200,0.05,10,0.207716825,0.792283175
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,64,64,0.1,0.1,200,0.05,10,0.207826661,0.792173339
5,5,200,0.05,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,100,0.1,10,0.207827129,0.792172871
7,7,200,0.05,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,100,0.1,10,0.208056368,0.791943632
5,5,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,1,1,200,0.05,10,0.208276896,0.791723104
9,9,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.1,0.1,200,0.05,10,0.208314527,0.791685473
9,9,200,0.05,16,16,0.7,0.7,0.7,0.7,32,32,0.1,0.1,100,0.1,10,0.208365544,0.791634456
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,16,16,0.01,0.01,100,0.1,10,0.208613004,0.791386996
7,7,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,1,1,200,0.05,10,0.208662307,0.791337693
5,5,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,1,1,100,0.1,10,0.208774507,0.791225493
7,7,100,0.1,16,16,0.5,0.5,0.9,0.9,64,64,0.01,0.01,200,0.05,10,0.208828527,0.791171473
9,9,100,0.1,16,16,0.7,0.7,0.7,0.7,80,80,1,1,200,0.05,10,0.208954102,0.791045898
7,7,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,1,1,100,0.1,10,0.209009782,0.790990218
9,9,200,0.05,16,16,0.5,0.5,0.9,0.9,32,32,1,1,100,0.1,10,0.209126121,0.790873879
