max_depth_LGB,min_child_samples_LGB,num_leaves_LGB,num_iterations_LGB,learning_rate_LGB,penalty_逻辑回归,subsample_LGB,colsample_bytree_LGB,reg_lambda_LGB,max_bin_LGB,reg_alpha_LGB,C_逻辑回归,degree,mse,r2,mse_y,auc_t
9,64,64,200,0.1,l1,0.9,0.9,5,80,0.1,1,10,0.101243621,0.898756379,1.098810826,0.513925627
7,32,32,200,0.1,l2,0.9,0.9,1,16,1,10,10,0.101271625,0.898728375,1.078599137,0.506254776
7,32,32,100,0.2,l2,0.9,0.9,7,112,0.01,0.1,10,0.101274953,0.898725047,1.073570785,0.50672502
7,32,32,200,0.1,l1,0.9,0.9,7,112,0.1,1,10,0.101413146,0.898586854,1.073691105,0.513925627
7,32,32,200,0.1,l1,0.9,0.9,3,48,0.1,1,10,0.101496438,0.898503562,1.075803823,0.513925627
7,32,32,200,0.1,l2,0.7,0.7,1,16,0.1,1,10,0.101608732,0.898391268,1.078153959,0.506313556
9,64,64,200,0.1,l1,0.9,0.9,5,80,1,10,10,0.101646742,0.898353258,1.094651322,0.507590696
9,64,64,200,0.1,l2,0.9,0.9,5,80,1,10,10,0.101747746,0.898252254,1.094651322,0.506254776
7,32,32,100,0.2,l1,0.9,0.9,7,112,0.1,1,10,0.101774089,0.898225911,1.070036558,0.513925627
9,64,64,200,0.1,l1,0.7,0.7,5,80,1,10,10,0.101822674,0.898177326,1.090052415,0.507590696
9,64,64,200,0.1,l2,0.9,0.9,1,16,0.01,0.1,10,0.101837084,0.898162916,1.100096139,0.50672502
9,64,64,200,0.1,l2,0.7,0.7,7,112,0.1,1,10,0.101856082,0.898143918,1.080647561,0.506313556
7,32,32,100,0.2,l1,0.5,0.5,7,112,0.1,1,10,0.101919165,0.898080835,1.081440946,0.513925627
9,64,64,200,0.1,l2,0.7,0.7,5,80,1,10,10,0.101924374,0.898075626,1.090052415,0.506254776
7,32,32,100,0.2,l1,0.7,0.7,9,144,1,10,10,0.101975595,0.898024405,1.075986406,0.507590696
7,32,32,100,0.2,l2,0.5,0.5,7,112,0.01,0.1,10,0.102008917,0.897991083,1.079436079,0.50672502
7,32,32,100,0.2,l2,0.7,0.7,9,144,1,10,10,0.10205649,0.89794351,1.075986406,0.506254776
9,64,64,100,0.2,l2,0.7,0.7,3,48,0.01,0.1,10,0.102059959,0.897940041,1.103444042,0.50672502
