max_depth_XGB,reg_lambda_XGB,num_iterations_LGB,n_estimators_XGB,learning_rate_LGB,learning_rate_XGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,max_bin_LGB,max_depth_LGB,reg_alpha_LGB,reg_alpha_XGB,degree,mse,r2
5,5,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,32,48,5,0.1,0.1,10,0.10885202,0.89114798
9,9,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,32,48,5,0.1,0.1,10,0.10885983,0.89114017
7,7,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.108861791,0.891138209
9,9,200,200,0.1,0.1,96,96,15,0.5,0.5,0.9,0.9,64,112,9,1,1,10,0.108981304,0.891018696
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.10911684,0.89088316
7,7,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.10918467,0.89081533
7,7,100,100,0.2,0.2,32,32,5,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.109223995,0.890776005
5,5,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.109379875,0.890620125
9,9,200,200,0.1,0.1,32,32,5,0.7,0.7,0.7,0.7,64,112,9,0.01,0.01,10,0.109406724,0.890593276
9,9,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,48,80,7,1,1,10,0.109421179,0.890578821
7,7,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.10947342,0.89052658
9,9,200,200,0.1,0.1,64,64,10,0.5,0.5,0.9,0.9,48,80,7,0.1,0.1,10,0.109475405,0.890524595
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,32,48,5,0.01,0.01,10,0.109514448,0.890485552
7,7,100,100,0.2,0.2,64,64,10,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.109557068,0.890442932
5,5,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.109638875,0.890361125
7,7,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.109741515,0.890258485
7,7,100,100,0.2,0.2,96,96,15,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.109822926,0.890177074
9,9,100,100,0.2,0.2,64,64,10,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.109862956,0.890137044
9,9,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.109870163,0.890129837
9,9,100,100,0.2,0.2,96,96,15,0.5,0.5,0.9,0.9,80,144,11,0.01,0.01,10,0.109897177,0.890102823
7,7,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.109922331,0.890077669
7,7,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.109929809,0.890070191
9,9,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,64,112,9,0.01,0.01,10,0.110045379,0.889954621
5,5,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.11017925,0.88982075
9,9,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.11025062,0.88974938
9,9,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.110268072,0.889731928
9,9,200,200,0.1,0.1,96,96,15,0.5,0.5,0.9,0.9,64,112,9,0.1,0.1,10,0.110271659,0.889728341
9,9,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,64,112,9,0.1,0.1,10,0.110274635,0.889725365
7,7,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,32,48,5,0.1,0.1,10,0.110314975,0.889685025
5,5,100,100,0.2,0.2,96,96,15,0.5,0.5,0.9,0.9,80,144,11,1,1,10,0.110343445,0.889656555
5,5,200,200,0.1,0.1,32,32,5,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.11035735,0.88964265
5,5,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.110455105,0.889544895
9,9,200,200,0.1,0.1,32,32,5,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.110482672,0.889517328
5,5,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,48,80,7,1,1,10,0.110548906,0.889451094
7,7,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,64,112,9,1,1,10,0.110670597,0.889329403
7,7,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,32,48,5,1,1,10,0.110675969,0.889324031
5,5,200,200,0.1,0.1,64,64,10,0.5,0.5,0.9,0.9,48,80,7,1,1,10,0.110703575,0.889296425
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,32,48,5,0.01,0.01,10,0.11073117,0.88926883
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,48,80,7,0.1,0.1,10,0.110769676,0.889230324
9,9,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,32,48,5,0.01,0.01,10,0.110871079,0.889128921
9,9,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,80,144,11,0.01,0.01,10,0.11101816,0.88898184
5,5,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,32,48,5,0.01,0.01,10,0.111068038,0.888931962
5,5,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.111117897,0.888882103
