max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,min_samples_split_random,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_features_random,max_samples_random,max_depth_random,max_bin_LGB,min_samples_leaf_random,reg_alpha,degree,mse,r2,mse_y,auc_t
9,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,0.01,10,0.085299224,0.914700776,1.093260727,0.518833796
5,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,0.01,10,0.085332971,0.914667029,1.082498696,0.512514896
7,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,0.1,10,0.085396724,0.914603276,1.105800987,0.511852279
9,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,0.01,10,0.085412665,0.914587335,1.100932003,0.52767224
7,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,5,80,5,1,10,0.085475974,0.914524026,1.083655225,0.511852279
9,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,1,10,0.085496277,0.914503723,1.090224729,0.519809017
7,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,1,10,0.085520666,0.914479334,1.093161243,0.512514896
9,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,0.1,10,0.085556547,0.914443453,1.09714629,0.511456847
5,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,9,144,9,0.01,10,0.085562276,0.914437724,1.090968474,0.518833796
9,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.085612847,0.914387153,1.102075173,0.515590183
7,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,5,80,5,1,10,0.085624963,0.914375037,1.092187114,0.515069174
9,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,9,144,9,1,10,0.085630188,0.914369812,1.095772046,0.504910841
7,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,9,144,9,1,10,0.085665755,0.914334245,1.103743029,0.518833796
9,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,0.1,10,0.085691344,0.914308656,1.113030714,0.511852279
7,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,9,144,9,0.1,10,0.085711542,0.914288458,1.095271185,0.515590183
7,100,0.1,200,32,64,64,10,0.9,0.9,0.5,0.5,5,80,5,1,10,0.085789942,0.914210058,1.103263766,0.511852279
7,100,0.1,200,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,1,10,0.085806969,0.914193031,1.084365833,0.515590183
7,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,9,144,9,0.01,10,0.0858102,0.9141898,1.092578755,0.517361612
5,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.085827809,0.914172191,1.080560272,0.508573932
5,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,9,144,9,1,10,0.085854481,0.914145519,1.087661623,0.511109508
9,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,0.01,10,0.085883977,0.914116023,1.093782034,0.505683002
