eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.01,350,100,64,0.9,0.9,5,5,10,0.126768285,0.873231715
0.01,350,50,16,0.9,0.9,3,3,10,0.127413106,0.872586894
0.01,350,50,32,0.9,0.9,3,3,10,0.127413106,0.872586894
0.01,350,50,64,0.9,0.9,3,3,10,0.127413106,0.872586894
0.01,350,50,48,0.9,0.9,3,3,10,0.127413106,0.872586894
0.0001,450,100,64,0.9,0.9,3,3,10,0.127586381,0.872413619
0.0001,450,100,48,0.9,0.9,3,3,10,0.127586381,0.872413619
0.0001,450,100,32,0.9,0.9,3,3,10,0.127586381,0.872413619
0.0001,450,100,16,0.9,0.9,3,3,10,0.127586381,0.872413619
0.01,350,100,64,0.9,0.9,3,3,10,0.128488354,0.871511646
0.01,350,100,16,0.9,0.9,3,3,10,0.128488354,0.871511646
0.01,350,100,48,0.9,0.9,3,3,10,0.128488354,0.871511646
0.01,350,100,32,0.9,0.9,3,3,10,0.128488354,0.871511646
0.01,350,100,16,0.5,0.5,9,9,5,0.320760494,0.679239506
0.01,350,100,48,0.5,0.5,9,9,5,0.320760494,0.679239506
0.01,350,100,64,0.5,0.5,9,9,5,0.320760494,0.679239506
0.01,350,100,32,0.5,0.5,9,9,5,0.320760494,0.679239506
0.0001,450,100,16,0.5,0.5,9,9,5,0.321002703,0.678997297
0.0001,450,100,64,0.5,0.5,9,9,5,0.321002703,0.678997297
0.0001,450,100,48,0.5,0.5,9,9,5,0.321002703,0.678997297
0.0001,450,100,32,0.5,0.5,9,9,5,0.321002703,0.678997297
0.01,350,100,16,0.5,0.5,5,5,5,0.321352633,0.678647367
0.01,350,100,32,0.5,0.5,5,5,5,0.321352633,0.678647367
0.01,350,100,48,0.5,0.5,5,5,5,0.321352633,0.678647367
0.01,350,100,64,0.5,0.5,5,5,5,0.321352633,0.678647367
0.01,350,100,48,0.5,0.5,7,7,5,0.321366048,0.678633952
0.01,350,100,32,0.5,0.5,7,7,5,0.321366048,0.678633952
0.01,350,100,16,0.5,0.5,7,7,5,0.321366048,0.678633952
0.01,350,100,64,0.5,0.5,7,7,5,0.321366048,0.678633952
0.0001,450,50,64,0.5,0.5,9,9,5,0.3213808,0.6786192
0.0001,450,50,32,0.5,0.5,9,9,5,0.3213808,0.6786192
0.0001,450,50,48,0.5,0.5,9,9,5,0.3213808,0.6786192
0.0001,450,50,16,0.5,0.5,9,9,5,0.3213808,0.6786192
0.01,350,50,16,0.5,0.5,7,7,5,0.32139118,0.67860882
0.01,350,50,48,0.5,0.5,7,7,5,0.32139118,0.67860882
0.01,350,50,64,0.5,0.5,7,7,5,0.32139118,0.67860882
0.01,350,50,32,0.5,0.5,7,7,5,0.32139118,0.67860882
0.01,350,50,16,0.5,0.5,9,9,5,0.321601656,0.678398344
0.01,350,50,64,0.5,0.5,9,9,5,0.321601656,0.678398344
0.01,350,50,48,0.5,0.5,9,9,5,0.321601656,0.678398344
0.01,350,50,32,0.5,0.5,9,9,5,0.321601656,0.678398344
0.0001,450,100,32,0.5,0.5,7,7,5,0.32166672,0.67833328
0.0001,450,100,64,0.5,0.5,7,7,5,0.32166672,0.67833328
0.0001,450,100,16,0.5,0.5,7,7,5,0.32166672,0.67833328
0.0001,450,100,48,0.5,0.5,7,7,5,0.32166672,0.67833328
0.0001,450,50,32,0.7,0.7,9,9,5,0.321841736,0.678158264
0.0001,450,50,64,0.7,0.7,9,9,5,0.321841736,0.678158264
0.0001,450,50,16,0.7,0.7,9,9,5,0.321841736,0.678158264
0.0001,450,50,48,0.7,0.7,9,9,5,0.321841736,0.678158264
0.01,350,100,16,0.5,0.5,3,3,5,0.321884554,0.678115446
0.01,350,100,48,0.5,0.5,3,3,5,0.321884554,0.678115446
