eps_lasso,n_alphas_lasso,num_iterations_LGB,learning_rate_LGB,reg_lambda_LGB,min_child_samples_LGB,num_leaves_LGB,colsample_bytree_LGB,subsample_LGB,max_depth_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
0.01,350,200,0.1,5,48,48,0.5,0.5,5,80,0.01,10,0.1436086839268501,0.8563913160731499
0.0001,450,200,0.1,9,112,112,0.9,0.9,7,112,1.0,10,0.14361611705282387,0.8563838829471762
0.01,350,200,0.1,9,112,112,0.5,0.5,9,144,1.0,10,0.1436162541450641,0.8563837458549359
0.0001,450,200,0.1,5,48,48,0.5,0.5,5,80,0.01,10,0.14362193280386298,0.856378067196137
0.0001,450,100,0.2,7,80,80,0.7,0.7,7,112,1.0,10,0.14362587443050073,0.8563741255694992
0.0001,450,200,0.1,9,112,112,0.5,0.5,9,144,1.0,10,0.14363819272494635,0.8563618072750536
0.01,350,100,0.2,7,80,80,0.5,0.5,5,80,1.0,10,0.14369523617418636,0.8563047638258137
0.0001,450,100,0.2,7,80,80,0.5,0.5,5,80,1.0,10,0.14371430485637007,0.85628569514363
0.01,350,200,0.1,9,112,112,0.9,0.9,7,112,0.1,10,0.14384672127177792,0.8561532787282221
0.0001,450,200,0.1,9,112,112,0.9,0.9,7,112,0.1,10,0.14386300350583925,0.8561369964941608
0.01,350,200,0.1,3,16,16,0.5,0.5,3,48,1.0,10,0.1439986992315018,0.8560013007684982
0.0001,450,200,0.1,3,16,16,0.5,0.5,3,48,1.0,10,0.14401946077985714,0.8559805392201428
0.01,350,100,0.2,9,112,112,0.9,0.9,7,112,1.0,10,0.14402522300434775,0.8559747769956523
0.01,350,100,0.2,9,112,112,0.7,0.7,5,80,0.01,10,0.14404645199440447,0.8559535480055955
0.0001,450,100,0.2,9,112,112,0.9,0.9,7,112,1.0,10,0.1440471329667179,0.8559528670332821
0.0001,450,100,0.2,9,112,112,0.7,0.7,5,80,0.01,10,0.14406235047426097,0.855937649525739
0.01,350,200,0.1,7,80,80,0.7,0.7,3,48,1.0,10,0.14411126273253871,0.8558887372674613
0.01,350,100,0.2,7,80,80,0.7,0.7,5,80,0.01,10,0.1441153203694352,0.8558846796305648
0.0001,450,200,0.1,7,80,80,0.7,0.7,3,48,1.0,10,0.14412264919196352,0.8558773508080365
0.0001,450,100,0.2,7,80,80,0.7,0.7,5,80,0.01,10,0.14412986431692176,0.8558701356830782
0.01,350,100,0.2,5,48,48,0.9,0.9,3,48,0.01,10,0.14435921167473786,0.8556407883252621
0.0001,450,100,0.2,5,48,48,0.9,0.9,3,48,0.01,10,0.1443786187634089,0.8556213812365911
0.01,350,200,0.1,7,80,80,0.5,0.5,7,112,1.0,10,0.1443956526150276,0.8556043473849724
0.0001,450,200,0.1,7,80,80,0.5,0.5,7,112,1.0,10,0.14441673972774435,0.8555832602722556
0.01,350,200,0.1,7,80,80,0.9,0.9,3,48,0.1,10,0.14446761416168297,0.855532385838317
0.0001,450,200,0.1,7,80,80,0.9,0.9,3,48,0.1,10,0.1444834538067783,0.8555165461932217
0.01,350,100,0.2,9,112,112,0.9,0.9,3,48,0.01,10,0.14453295748766073,0.8554670425123393
0.0001,450,100,0.2,9,112,112,0.9,0.9,3,48,0.01,10,0.14455434627021022,0.8554456537297898
0.01,350,100,0.2,9,112,112,0.9,0.9,5,80,1.0,10,0.14460223481183437,0.8553977651881657
0.0001,450,100,0.2,9,112,112,0.9,0.9,5,80,1.0,10,0.14461747919039636,0.8553825208096036
0.01,350,200,0.1,5,48,48,0.9,0.9,3,48,1.0,10,0.14463855027423206,0.855361449725768
0.0001,450,200,0.1,5,48,48,0.9,0.9,3,48,1.0,10,0.14465598770391402,0.855344012296086
0.01,350,200,0.1,3,16,16,0.9,0.9,3,48,0.1,10,0.14477555407702183,0.8552244459229782
0.0001,450,200,0.1,3,16,16,0.9,0.9,3,48,0.1,10,0.14478378065303715,0.8552162193469628
0.01,350,100,0.2,9,112,112,0.5,0.5,7,112,0.01,10,0.14480437325567339,0.8551956267443266
0.0001,450,100,0.2,9,112,112,0.5,0.5,7,112,0.01,10,0.14481952469766862,0.8551804753023313
0.01,350,100,0.2,9,112,112,0.5,0.5,9,144,0.01,10,0.14483880432273818,0.8551611956772618
0.0001,450,100,0.2,9,112,112,0.5,0.5,9,144,0.01,10,0.14485915205210845,0.8551408479478916
0.01,350,100,0.2,7,80,80,0.9,0.9,3,48,0.01,10,0.14487613985071846,0.8551238601492815
0.0001,450,100,0.2,7,80,80,0.9,0.9,3,48,0.01,10,0.14489721506363945,0.8551027849363606
0.01,350,200,0.1,5,48,48,0.7,0.7,3,48,0.1,10,0.1451947456842137,0.8548052543157862
0.01,350,200,0.1,7,80,80,0.5,0.5,5,80,0.01,10,0.14519989255620996,0.8548001074437901
0.0001,450,200,0.1,5,48,48,0.7,0.7,3,48,0.1,10,0.14521226766984616,0.8547877323301538
0.0001,450,200,0.1,7,80,80,0.5,0.5,5,80,0.01,10,0.14521452079391656,0.8547854792060834
0.01,350,200,0.1,9,112,112,0.5,0.5,9,144,0.1,10,0.14522242611739658,0.8547775738826034
0.01,350,200,0.1,7,80,80,0.7,0.7,5,80,0.01,10,0.14523940139473568,0.8547605986052643
0.0001,450,200,0.1,9,112,112,0.5,0.5,9,144,0.1,10,0.14524064860934102,0.854759351390659
0.0001,450,200,0.1,7,80,80,0.7,0.7,5,80,0.01,10,0.14525076875489554,0.8547492312451045
0.01,350,100,0.2,9,112,112,0.7,0.7,7,112,0.1,10,0.14541390120845105,0.854586098791549
