n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2,mse_y,auc_t
50,16,0.7,0.7,7,7,5,0.332240461,0.667759539,1.060829592,0.504037149
100,16,0.5,0.5,9,9,5,0.332400347,0.667599653,1.062496179,0.504037149
50,16,0.9,0.9,9,9,5,0.333116321,0.666883679,1.068622406,0.504037149
50,48,0.9,0.9,9,9,5,0.333303754,0.666696246,1.064494312,0.504037149
100,16,0.9,0.9,9,9,5,0.333314376,0.666685624,1.068723629,0.504037149
50,48,0.5,0.5,9,9,5,0.333488144,0.666511856,1.060852509,0.504037149
50,48,0.5,0.5,7,7,5,0.334072961,0.665927039,1.061489007,0.504037149
100,48,0.7,0.7,7,7,5,0.334171434,0.665828566,1.061359697,0.504037149
50,16,0.5,0.5,7,7,5,0.334441298,0.665558702,1.062327326,0.504037149
100,16,0.9,0.9,7,7,5,0.334852158,0.665147842,1.066555186,0.504037149
50,48,0.9,0.9,7,7,5,0.335288432,0.664711568,1.065035804,0.504037149
100,32,0.9,0.9,9,9,5,0.335379054,0.664620946,1.064333111,0.504037149
50,16,0.9,0.9,5,5,5,0.335682934,0.664317066,1.062820654,0.504037149
100,32,0.9,0.9,7,7,5,0.336077954,0.663922046,1.063906636,0.504037149
50,16,0.9,0.9,7,7,5,0.336184057,0.663815943,1.065848158,0.504037149
50,32,0.9,0.9,9,9,5,0.336667368,0.663332632,1.068207387,0.504037149
100,48,0.9,0.9,9,9,5,0.336716927,0.663283073,1.062968105,0.504037149
50,48,0.5,0.5,5,5,5,0.33711271,0.66288729,1.060412989,0.504037149
50,16,0.7,0.7,5,5,5,0.33732497,0.66267503,1.060684712,0.504037149
100,48,0.9,0.9,7,7,5,0.337392269,0.662607731,1.062165477,0.504037149
50,16,0.5,0.5,9,9,5,0.337470275,0.662529725,1.062516602,0.504037149
50,32,0.5,0.5,9,9,5,0.337980551,0.662019449,1.06221506,0.504037149
50,32,0.9,0.9,7,7,5,0.338139575,0.661860425,1.063200273,0.504037149
100,16,0.9,0.9,5,5,5,0.338186281,0.661813719,1.061867373,0.504037149
50,32,0.5,0.5,7,7,5,0.338396886,0.661603114,1.062687272,0.504037149
100,32,0.7,0.7,5,5,5,0.338577389,0.661422611,1.061269019,0.504037149
100,32,0.9,0.9,5,5,5,0.338597465,0.661402535,1.059632672,0.504037149
100,32,0.5,0.5,9,9,5,0.338803798,0.661196202,1.060756296,0.504037149
100,48,0.5,0.5,7,7,5,0.33928233,0.66071767,1.060226135,0.504037149
100,48,0.9,0.9,5,5,5,0.339657727,0.660342273,1.059862553,0.504037149
100,48,0.5,0.5,9,9,5,0.339764703,0.660235297,1.060661105,0.504037149
100,16,0.5,0.5,5,5,5,0.340203576,0.659796424,1.059695653,0.504037149
50,32,0.7,0.7,5,5,5,0.340380577,0.659619423,1.060910404,0.504037149
100,16,0.7,0.7,5,5,5,0.340623712,0.659376288,1.06055672,0.504037149
50,32,0.5,0.5,5,5,5,0.340657324,0.659342676,1.059161252,0.504037149
50,48,0.7,0.7,5,5,5,0.340884079,0.659115921,1.060437542,0.504037149
100,48,0.7,0.7,5,5,5,0.341934398,0.658065602,1.060026046,0.504037149
100,32,0.5,0.5,5,5,5,0.342181205,0.657818795,1.061017409,0.504037149
50,32,0.9,0.9,5,5,5,0.342253141,0.657746859,1.061181598,0.504037149
100,48,0.5,0.5,5,5,5,0.342296275,0.657703725,1.061027046,0.504037149
50,16,0.5,0.5,5,5,5,0.34309223,0.65690777,1.05588901,0.504037149
50,48,0.9,0.9,5,5,5,0.344429513,0.655570487,1.059838065,0.504037149
100,32,0.5,0.5,3,3,5,0.347018984,0.652981016,1.063682139,0.504037149
100,16,0.5,0.5,3,3,5,0.347205089,0.652794911,1.063852479,0.504037149
100,48,0.5,0.5,3,3,5,0.347231553,0.652768447,1.063736897,0.504037149
100,16,0.9,0.9,3,3,5,0.347724284,0.652275716,1.058736237,0.504037149
100,32,0.9,0.9,3,3,5,0.347739183,0.652260817,1.058086983,0.504037149
100,48,0.9,0.9,3,3,5,0.347925354,0.652074646,1.05836974,0.504037149
50,48,0.9,0.9,3,3,5,0.348025612,0.651974388,1.05896781,0.504037149
50,16,0.7,0.7,3,3,5,0.348355519,0.651644481,1.063179316,0.504037149
50,32,0.9,0.9,3,3,5,0.348437588,0.651562412,1.058810776,0.504037149
50,16,0.9,0.9,3,3,5,0.348529168,0.651470832,1.058425584,0.504037149
50,32,0.7,0.7,3,3,5,0.348755356,0.651244644,1.063168713,0.504037149
50,48,0.5,0.5,3,3,5,0.348846691,0.651153309,1.06363759,0.504037149
50,48,0.7,0.7,3,3,5,0.348883369,0.651116631,1.063885226,0.504037149
