eps_lasso,n_alphas_lasso,n_estimators_XGB,learning_rate_XGB,max_depth_XGB,reg_lambda_XGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
0.0001,450,200,0.1,7,7,0.7,0.7,80,0.01,10,0.12095188651167962,0.8790481134883203
0.0001,450,100,0.2,9,9,0.9,0.9,80,0.1,10,0.12095284183227648,0.8790471581677235
0.01,350,200,0.1,5,5,0.5,0.5,48,0.1,10,0.12095300342297177,0.8790469965770282
0.0001,450,200,0.1,7,7,0.9,0.9,80,0.1,10,0.1209636853353086,0.8790363146646913
0.0001,450,200,0.1,5,5,0.5,0.5,48,0.1,10,0.12096531333914222,0.8790346866608578
0.0001,450,200,0.1,9,9,0.9,0.9,112,1.0,10,0.12096574620557095,0.879034253794429
0.01,350,200,0.1,9,9,0.9,0.9,112,0.1,10,0.12096949654995921,0.8790305034500407
0.0001,450,200,0.1,9,9,0.9,0.9,112,0.1,10,0.12098531188956027,0.8790146881104397
0.01,350,200,0.1,9,9,0.9,0.9,80,0.01,10,0.12098895314795452,0.8790110468520455
0.01,350,200,0.1,9,9,0.7,0.7,80,0.1,10,0.12100164805029594,0.8789983519497041
0.0001,450,200,0.1,9,9,0.9,0.9,80,0.01,10,0.12100313226112343,0.8789968677388765
0.01,350,200,0.1,3,3,0.9,0.9,112,1.0,10,0.1210136207510857,0.8789863792489143
0.0001,450,200,0.1,9,9,0.7,0.7,80,0.1,10,0.12101611470194931,0.8789838852980507
0.01,350,200,0.1,7,7,0.9,0.9,112,0.1,10,0.12101873125320056,0.8789812687467995
0.01,350,200,0.1,5,5,0.7,0.7,80,1.0,10,0.12102259185577872,0.8789774081442213
0.0001,450,200,0.1,3,3,0.9,0.9,112,1.0,10,0.12102541605054797,0.878974583949452
0.01,350,200,0.1,3,3,0.5,0.5,48,0.1,10,0.12103204073827366,0.8789679592617263
0.0001,450,200,0.1,7,7,0.9,0.9,112,0.1,10,0.12103355386288327,0.8789664461371167
0.0001,450,200,0.1,5,5,0.7,0.7,80,1.0,10,0.1210358103840438,0.8789641896159562
0.0001,450,200,0.1,3,3,0.5,0.5,48,0.1,10,0.12104458247233772,0.8789554175276623
0.01,350,100,0.2,9,9,0.7,0.7,80,0.1,10,0.12104469150404405,0.8789553084959559
0.01,350,200,0.1,7,7,0.9,0.9,112,0.01,10,0.1210465716237611,0.8789534283762389
