eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.01,350,50,5,0.9,0.9,7,80,10,0.12524350551334631,0.8747564944866537
0.01,350,50,3,0.9,0.9,7,80,10,0.1252435055133473,0.8747564944866527
0.01,350,50,9,0.9,0.9,7,80,10,0.1252435055133482,0.8747564944866518
0.0001,450,100,3,0.9,0.9,5,48,10,0.12559037670735748,0.8744096232926425
0.0001,450,100,5,0.9,0.9,5,48,10,0.12559037670735762,0.8744096232926424
0.0001,450,100,7,0.9,0.9,5,48,10,0.12559037670735856,0.8744096232926415
0.0001,450,100,9,0.9,0.9,5,48,10,0.12559037670735868,0.8744096232926413
0.0001,450,50,3,0.9,0.9,5,48,10,0.12560200974845734,0.8743979902515426
0.0001,450,50,9,0.9,0.9,5,48,10,0.12560200974845823,0.8743979902515417
0.0001,450,50,5,0.9,0.9,5,48,10,0.12560200974845862,0.8743979902515414
0.0001,450,50,7,0.9,0.9,5,48,10,0.12560200974845873,0.8743979902515413
0.0001,450,50,3,0.9,0.9,3,16,10,0.12645398141392206,0.8735460185860779
0.0001,450,50,7,0.9,0.9,3,16,10,0.12645398141392253,0.8735460185860775
0.0001,450,50,9,0.9,0.9,3,16,10,0.1264539814139244,0.8735460185860756
0.0001,450,50,5,0.9,0.9,3,16,10,0.12645398141392605,0.873546018586074
0.01,350,50,3,0.9,0.9,5,48,10,0.1264605194353234,0.8735394805646766
0.01,350,50,9,0.9,0.9,5,48,10,0.12646051943532455,0.8735394805646755
0.01,350,50,5,0.9,0.9,5,48,10,0.12646051943532682,0.8735394805646732
0.01,350,50,7,0.9,0.9,5,48,10,0.1264605194353285,0.8735394805646715
0.01,350,100,7,0.9,0.9,5,48,10,0.12676828525344316,0.8732317147465568
0.01,350,100,5,0.9,0.9,5,48,10,0.1267682852534436,0.8732317147465564
0.01,350,100,3,0.9,0.9,5,48,10,0.12676828525344483,0.8732317147465551
0.01,350,100,9,0.9,0.9,5,48,10,0.12676828525344505,0.8732317147465549
0.01,350,50,3,0.9,0.9,3,16,10,0.12741310623811386,0.8725868937618861
0.01,350,50,5,0.9,0.9,3,16,10,0.12741310623811583,0.8725868937618841
0.01,350,50,9,0.9,0.9,3,16,10,0.1274131062381164,0.8725868937618836
0.01,350,50,7,0.9,0.9,3,16,10,0.12741310623811652,0.8725868937618835
0.0001,450,100,9,0.9,0.9,3,16,10,0.12758638080627288,0.8724136191937271
0.0001,450,100,7,0.9,0.9,3,16,10,0.1275863808062732,0.8724136191937268
0.0001,450,100,5,0.9,0.9,3,16,10,0.12758638080627835,0.8724136191937216
