max_depth_XGB,reg_lambda_XGB,n_estimators_random,n_estimators_XGB,learning_rate_XGB,min_samples_split_random,max_features_random,max_samples_random,subsample_XGB,colsample_bytree_XGB,min_samples_leaf_random,max_depth_random,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2,mse_y,auc_t
9,9,100,200,0.1,48,0.9,0.9,0.5,0.5,9,9,9,0.1,10,0.151252346,0.848747654,1.062968105,0.523311798
7,7,50,100,0.2,48,0.7,0.7,0.7,0.7,9,9,9,1,10,0.151341964,0.848658036,1.063365688,0.516573419
5,5,100,200,0.1,80,0.9,0.9,0.5,0.5,7,7,7,1,10,0.151394257,0.848605743,1.059765484,0.516455859
5,5,100,200,0.1,16,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.151479793,0.848520207,1.064254238,0.508036893
5,5,100,200,0.1,48,0.7,0.7,0.7,0.7,5,5,5,1,10,0.151651623,0.848348377,1.060026046,0.514136702
7,7,100,200,0.1,48,0.5,0.5,0.9,0.9,9,9,9,0.1,10,0.151762634,0.848237366,1.060661105,0.516749761
5,5,100,200,0.1,80,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.151853092,0.848146908,1.060313217,0.516573419
9,9,100,200,0.1,48,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.152037437,0.847962563,1.061359697,0.515002378
5,5,100,200,0.1,16,0.5,0.5,0.9,0.9,9,9,9,1,10,0.152045169,0.847954831,1.062496179,0.516749761
5,5,50,100,0.2,16,0.7,0.7,0.7,0.7,9,9,9,1,10,0.152088055,0.847911945,1.065455196,0.515758508
9,9,100,200,0.1,48,0.9,0.9,0.5,0.5,7,7,7,1,10,0.152195399,0.847804601,1.062165477,0.523605701
9,9,100,200,0.1,48,0.9,0.9,0.5,0.5,7,7,7,0.1,10,0.152268813,0.847731187,1.062165477,0.524471377
5,5,100,200,0.1,48,0.5,0.5,0.9,0.9,9,9,9,1,10,0.152290248,0.847709752,1.060661105,0.516749761
5,5,100,200,0.1,48,0.7,0.7,0.7,0.7,9,9,9,1,10,0.152423134,0.847576866,1.061833626,0.498223227
9,9,50,100,0.2,16,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.15248545,0.84751455,1.060684712,0.506591428
9,9,100,200,0.1,16,0.9,0.9,0.5,0.5,9,9,9,0.01,10,0.152629132,0.847370868,1.068723629,0.518320802
5,5,100,200,0.1,16,0.7,0.7,0.7,0.7,9,9,9,0.1,10,0.152694596,0.847305404,1.064254238,0.520530414
9,9,100,200,0.1,16,0.7,0.7,0.7,0.7,5,5,5,1,10,0.152779942,0.847220058,1.06055672,0.513027889
5,5,100,200,0.1,80,0.5,0.5,0.9,0.9,9,9,9,1,10,0.152794078,0.847205922,1.059120179,0.516749761
9,9,50,100,0.2,48,0.7,0.7,0.7,0.7,7,7,7,1,10,0.152814553,0.847185447,1.061970418,0.521917098
5,5,100,200,0.1,80,0.7,0.7,0.7,0.7,9,9,9,1,10,0.15281649,0.84718351,1.059824322,0.498223227
7,7,100,200,0.1,48,0.7,0.7,0.7,0.7,9,9,9,0.1,10,0.152829362,0.847170638,1.061833626,0.507280762
7,7,100,200,0.1,48,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.152921873,0.847078127,1.061359697,0.518312787
5,5,100,200,0.1,16,0.5,0.5,0.9,0.9,7,7,7,1,10,0.152959214,0.847040786,1.063145702,0.512330539
7,7,100,200,0.1,48,0.5,0.5,0.9,0.9,5,5,5,1,10,0.153134856,0.846865144,1.061027046,0.512044652
7,7,100,200,0.1,48,0.7,0.7,0.7,0.7,9,9,9,1,10,0.153349416,0.846650584,1.061833626,0.508793023
5,5,100,200,0.1,80,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.153440941,0.846559059,1.059765484,0.518900592
5,5,50,100,0.2,48,0.7,0.7,0.7,0.7,7,7,7,1,10,0.153453488,0.846546512,1.061970418,0.530394844
5,5,100,200,0.1,16,0.5,0.5,0.9,0.9,9,9,9,0.1,10,0.153515233,0.846484767,1.062496179,0.509893821
5,5,100,200,0.1,16,0.9,0.9,0.5,0.5,5,5,5,0.1,10,0.153523105,0.846476895,1.061867373,0.51727077
9,9,100,200,0.1,16,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.153618213,0.846381787,1.06055672,0.519648707
9,9,100,200,0.1,16,0.9,0.9,0.5,0.5,7,7,7,1,10,0.153757395,0.846242605,1.066555186,0.523605701
5,5,100,200,0.1,112,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.153832726,0.846167274,1.059561836,0.502458092
7,7,100,200,0.1,80,0.7,0.7,0.7,0.7,9,9,9,1,10,0.153878704,0.846121296,1.059824322,0.508793023
5,5,100,200,0.1,48,0.5,0.5,0.9,0.9,9,9,9,0.1,10,0.153893828,0.846106172,1.060661105,0.509893821
5,5,100,200,0.1,112,0.7,0.7,0.7,0.7,5,5,5,1,10,0.154032818,0.845967182,1.059980001,0.514136702
7,7,50,100,0.2,16,0.7,0.7,0.7,0.7,9,9,9,1,10,0.154052239,0.845947761,1.065455196,0.516573419
5,5,100,200,0.1,112,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.154141423,0.845858577,1.059561836,0.516573419
7,7,100,200,0.1,48,0.7,0.7,0.7,0.7,5,5,5,0.01,10,0.154148322,0.845851678,1.060026046,0.510649952
9,9,50,100,0.2,80,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.154200214,0.845799786,1.058788064,0.506591428
7,7,100,200,0.1,48,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.154220528,0.845779472,1.060026046,0.509314032
5,5,100,200,0.1,48,0.9,0.9,0.5,0.5,5,5,5,0.1,10,0.15446061,0.84553939,1.059862553,0.51727077
5,5,100,200,0.1,80,0.5,0.5,0.9,0.9,9,9,9,0.1,10,0.15449018,0.84550982,1.059120179,0.509893821
7,7,100,200,0.1,80,0.7,0.7,0.7,0.7,9,9,9,0.1,10,0.154546117,0.845453883,1.059824322,0.507280762
9,9,100,200,0.1,48,0.9,0.9,0.5,0.5,9,9,9,0.01,10,0.154565188,0.845434812,1.062968105,0.518320802
7,7,100,200,0.1,16,0.5,0.5,0.9,0.9,7,7,7,0.1,10,0.154592119,0.845407881,1.063145702,0.510356049
7,7,100,200,0.1,80,0.7,0.7,0.7,0.7,5,5,5,1,10,0.154687939,0.845312061,1.061032594,0.514077922
9,9,50,100,0.2,16,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.154866736,0.845133264,1.060829592,0.513035904
7,7,100,200,0.1,48,0.7,0.7,0.7,0.7,5,5,5,1,10,0.154931908,0.845068092,1.060026046,0.514077922
9,9,100,200,0.1,112,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.155069386,0.844930614,1.059561836,0.514943597
5,5,100,200,0.1,48,0.5,0.5,0.9,0.9,7,7,7,1,10,0.155128096,0.844871904,1.060226135,0.512330539
9,9,100,200,0.1,80,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.155342302,0.844657698,1.061032594,0.519648707
7,7,100,200,0.1,16,0.9,0.9,0.5,0.5,9,9,9,0.01,10,0.155463202,0.844536798,1.068723629,0.514313043
7,7,100,200,0.1,80,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.155552972,0.844447028,1.061032594,0.509314032
5,5,100,200,0.1,48,0.7,0.7,0.7,0.7,7,7,7,0.01,10,0.155625943,0.844374057,1.061359697,0.516573419
9,9,50,100,0.2,16,0.7,0.7,0.7,0.7,7,7,7,1,10,0.155647878,0.844352122,1.060829592,0.521917098
5,5,100,200,0.1,16,0.9,0.9,0.5,0.5,7,7,7,0.1,10,0.155673328,0.844326672,1.066555186,0.5166322
9,9,50,100,0.2,48,0.5,0.5,0.9,0.9,7,7,7,1,10,0.155689588,0.844310412,1.061489007,0.515876069
5,5,100,200,0.1,16,0.9,0.9,0.5,0.5,9,9,9,0.1,10,0.155698428,0.844301572,1.068723629,0.521631211
5,5,50,100,0.2,16,0.5,0.5,0.9,0.9,9,9,9,1,10,0.155775864,0.844224136,1.062516602,0.511633189
9,9,50,100,0.2,48,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.15580371,0.84419629,1.060437542,0.506591428
7,7,100,200,0.1,80,0.5,0.5,0.9,0.9,9,9,9,0.1,10,0.155862295,0.844137705,1.059120179,0.516749761
5,5,100,200,0.1,48,0.9,0.9,0.5,0.5,9,9,9,0.1,10,0.155917635,0.844082365,1.062968105,0.521631211
9,9,100,200,0.1,80,0.9,0.9,0.5,0.5,7,7,7,0.1,10,0.155928314,0.844071686,1.059765484,0.524471377
5,5,100,200,0.1,16,0.7,0.7,0.7,0.7,5,5,5,0.01,10,0.15601363,0.84398637,1.06055672,0.510128943
9,9,100,200,0.1,80,0.9,0.9,0.5,0.5,7,7,7,1,10,0.156017405,0.843982595,1.059765484,0.523605701
9,9,100,200,0.1,16,0.5,0.5,0.9,0.9,5,5,5,1,10,0.156149572,0.843850428,1.059695653,0.522211
9,9,100,200,0.1,16,0.9,0.9,0.5,0.5,7,7,7,0.1,10,0.156181746,0.843818254,1.066555186,0.524471377
7,7,100,200,0.1,48,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.156183107,0.843816893,1.061833626,0.509835041
9,9,100,200,0.1,16,0.5,0.5,0.9,0.9,7,7,7,0.1,10,0.156226987,0.843773013,1.063145702,0.50768421
9,9,50,100,0.2,16,0.9,0.9,0.5,0.5,9,9,9,1,10,0.156473409,0.843526591,1.068622406,0.53452818
9,9,100,200,0.1,112,0.9,0.9,0.5,0.5,7,7,7,1,10,0.156567365,0.843432635,1.058112755,0.523605701
7,7,100,200,0.1,48,0.5,0.5,0.9,0.9,7,7,7,0.1,10,0.15658714,0.84341286,1.060226135,0.510356049
9,9,100,200,0.1,80,0.7,0.7,0.7,0.7,5,5,5,1,10,0.156636714,0.843363286,1.061032594,0.513027889
5,5,100,200,0.1,80,0.5,0.5,0.9,0.9,7,7,7,1,10,0.156692339,0.843307661,1.058247333,0.512330539
9,9,50,100,0.2,48,0.5,0.5,0.9,0.9,9,9,9,0.01,10,0.156718272,0.843281728,1.060852509,0.499551131
9,9,50,100,0.2,48,0.9,0.9,0.5,0.5,7,7,7,0.1,10,0.156758396,0.843241604,1.065035804,0.516405094
9,9,100,200,0.1,48,0.7,0.7,0.7,0.7,5,5,5,1,10,0.156768957,0.843231043,1.060026046,0.513027889
5,5,100,200,0.1,16,0.9,0.9,0.5,0.5,9,9,9,1,10,0.156778691,0.843221309,1.068723629,0.521580446
9,9,50,100,0.2,112,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.156820998,0.843179002,1.058761048,0.506591428
9,9,100,200,0.1,112,0.7,0.7,0.7,0.7,5,5,5,1,10,0.157022604,0.842977396,1.059980001,0.513027889
9,9,100,200,0.1,48,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.15704329,0.84295671,1.060026046,0.519648707
7,7,100,200,0.1,48,0.5,0.5,0.9,0.9,9,9,9,0.01,10,0.157123031,0.842876969,1.060661105,0.499735488
7,7,100,200,0.1,16,0.5,0.5,0.9,0.9,5,5,5,1,10,0.157182216,0.842817784,1.059695653,0.512044652
7,7,100,200,0.1,48,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.157204776,0.842795224,1.062165477,0.51936282
9,9,50,100,0.2,16,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.157251373,0.842748627,1.065848158,0.526101199
9,9,100,200,0.1,112,0.7,0.7,0.7,0.7,7,7,7,1,10,0.157311391,0.842688609,1.059561836,0.514019141
7,7,100,200,0.1,16,0.9,0.9,0.5,0.5,7,7,7,0.1,10,0.157380656,0.842619344,1.066555186,0.508213234
5,5,100,200,0.1,48,0.9,0.9,0.5,0.5,9,9,9,1,10,0.157397776,0.842602224,1.062968105,0.521580446
7,7,100,200,0.1,112,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.157421382,0.842578618,1.059561836,0.518312787
5,5,100,200,0.1,48,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.157437001,0.842562999,1.061833626,0.508036893
7,7,100,200,0.1,48,0.9,0.9,0.5,0.5,9,9,9,0.01,10,0.157532225,0.842467775,1.062968105,0.514313043
5,5,50,100,0.2,16,0.5,0.5,0.9,0.9,7,7,7,0.01,10,0.157573861,0.842426139,1.062327326,0.498450333
7,7,100,200,0.1,80,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.157658644,0.842341356,1.059824322,0.509835041
9,9,50,100,0.2,16,0.7,0.7,0.7,0.7,9,9,9,1,10,0.157766466,0.842233534,1.065455196,0.517850559
7,7,100,200,0.1,16,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.157958115,0.842041885,1.066555186,0.51936282
9,9,100,200,0.1,80,0.5,0.5,0.9,0.9,7,7,7,1,10,0.157988087,0.842011913,1.058247333,0.514834052
9,9,100,200,0.1,80,0.9,0.9,0.5,0.5,9,9,9,1,10,0.157994329,0.842005671,1.061009853,0.527437118
5,5,100,200,0.1,16,0.9,0.9,0.5,0.5,9,9,9,0.01,10,0.158000941,0.841999059,1.068723629,0.520698739
7,7,100,200,0.1,80,0.9,0.9,0.5,0.5,9,9,9,1,10,0.158067566,0.841932434,1.061009853,0.516926102
7,7,100,200,0.1,16,0.5,0.5,0.9,0.9,7,7,7,0.01,10,0.158125947,0.841874053,1.063145702,0.517094428
5,5,50,100,0.2,16,0.7,0.7,0.7,0.7,7,7,7,1,10,0.158206647,0.841793353,1.060829592,0.530394844
9,9,50,100,0.2,80,0.5,0.5,0.9,0.9,7,7,7,1,10,0.158328686,0.841671314,1.05892616,0.515876069
5,5,50,100,0.2,16,0.9,0.9,0.5,0.5,9,9,9,1,10,0.158398884,0.841601116,1.068622406,0.522211
7,7,50,100,0.2,16,0.7,0.7,0.7,0.7,7,7,7,1,10,0.158610273,0.841389727,1.060829592,0.531671984
5,5,50,100,0.2,48,0.5,0.5,0.9,0.9,9,9,9,1,10,0.158684992,0.841315008,1.060852509,0.511633189
7,7,100,200,0.1,80,0.5,0.5,0.9,0.9,5,5,5,1,10,0.158900982,0.841099018,1.059705611,0.512044652
7,7,50,100,0.2,16,0.9,0.9,0.5,0.5,9,9,9,1,10,0.158904416,0.841095584,1.068622406,0.52621876
7,7,100,200,0.1,112,0.9,0.9,0.5,0.5,9,9,9,1,10,0.158913504,0.841086496,1.058347788,0.516926102
9,9,100,200,0.1,48,0.5,0.5,0.9,0.9,7,7,7,0.1,10,0.158961965,0.841038035,1.060226135,0.50768421
7,7,100,200,0.1,112,0.9,0.9,0.5,0.5,9,9,9,0.1,10,0.159155303,0.840844697,1.058347788,0.513733254
5,5,100,200,0.1,48,0.9,0.9,0.5,0.5,9,9,9,0.01,10,0.159156768,0.840843232,1.062968105,0.520698739
5,5,50,100,0.2,16,0.9,0.9,0.5,0.5,7,7,7,0.1,10,0.159412986,0.840587014,1.065848158,0.518320802
5,5,100,200,0.1,80,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.159425703,0.840574297,1.059824322,0.508036893
5,5,100,200,0.1,16,0.9,0.9,0.5,0.5,5,5,5,1,10,0.159428118,0.840571882,1.061867373,0.522908351
9,9,100,200,0.1,16,0.5,0.5,0.9,0.9,7,7,7,1,10,0.159501375,0.840498625,1.063145702,0.514834052
5,5,100,200,0.1,80,0.7,0.7,0.7,0.7,5,5,5,0.01,10,0.159538697,0.840461303,1.061032594,0.510128943
7,7,100,200,0.1,16,0.9,0.9,0.5,0.5,5,5,5,0.1,10,0.159700517,0.840299483,1.061867373,0.509893821
5,5,50,100,0.2,16,0.9,0.9,0.5,0.5,7,7,7,1,10,0.159720975,0.840279025,1.065848158,0.528193249
5,5,100,200,0.1,112,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.159946297,0.840053703,1.058112755,0.518900592
5,5,100,200,0.1,48,0.7,0.7,0.7,0.7,5,5,5,0.01,10,0.160053439,0.839946561,1.060026046,0.510128943
5,5,100,200,0.1,112,0.7,0.7,0.7,0.7,7,7,7,1,10,0.160085073,0.839914927,1.059561836,0.511927091
9,9,50,100,0.2,16,0.7,0.7,0.7,0.7,7,7,7,0.1,10,0.160210091,0.839789909,1.060829592,0.532722016
5,5,50,100,0.2,80,0.7,0.7,0.7,0.7,9,9,9,1,10,0.160294905,0.839705095,1.060167492,0.515758508
9,9,100,200,0.1,112,0.9,0.9,0.5,0.5,9,9,9,1,10,0.160436712,0.839563288,1.058347788,0.527437118
7,7,100,200,0.1,48,0.9,0.9,0.5,0.5,5,5,5,0.1,10,0.160680582,0.839319418,1.059862553,0.509893821
5,5,100,200,0.1,16,0.7,0.7,0.7,0.7,5,5,5,0.1,10,0.160702706,0.839297294,1.06055672,0.502172205
7,7,100,200,0.1,80,0.9,0.9,0.5,0.5,9,9,9,0.1,10,0.160928208,0.839071792,1.061009853,0.513733254
9,9,50,100,0.2,16,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.161078034,0.838921966,1.065455196,0.524118694
7,7,100,200,0.1,48,0.5,0.5,0.9,0.9,7,7,7,0.01,10,0.161084141,0.838915859,1.060226135,0.517094428
9,9,100,200,0.1,112,0.9,0.9,0.5,0.5,7,7,7,0.01,10,0.161112005,0.838887995,1.058112755,0.509893821
5,5,100,200,0.1,48,0.5,0.5,0.9,0.9,5,5,5,0.01,10,0.161143969,0.838856031,1.061027046,0.507229997
5,5,50,100,0.2,16,0.9,0.9,0.5,0.5,5,5,5,0.1,10,0.161145738,0.838854262,1.062820654,0.522320546
9,9,100,200,0.1,16,0.9,0.9,0.5,0.5,5,5,5,0.1,10,0.161241588,0.838758412,1.061867373,0.523950368
9,9,100,200,0.1,112,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.1612434,0.8387566,1.060090165,0.510187723
9,9,100,200,0.1,48,0.5,0.5,0.9,0.9,7,7,7,1,10,0.161322077,0.838677923,1.060226135,0.514834052
7,7,100,200,0.1,112,0.7,0.7,0.7,0.7,9,9,9,0.01,10,0.161354144,0.838645856,1.060090165,0.509835041
7,7,50,100,0.2,16,0.9,0.9,0.5,0.5,5,5,5,0.1,10,0.161358593,0.838641407,1.062820654,0.514144718
